Top 10,,,,,,,,,
Feeder Patterns,,,,,,,,,
Texas A&M University Campus,,,,,,,,,
Country,,,Students  % Total,,,,,,
United States,,,38030,,,,91.8%,,
India,,,706,,,,1.7%,,
"China, People's Rep of",,,643,,,,1.6%,,
"Korea, Republic of",,,566,,,,1.4%,,
Taiwan,,,127,,,,0.3%,,
Mexico,,,115,,,,0.3%,,
Turkey,,,85,,,,0.2%,,
Indonesia,,,73,,,,0.2%,,
Colombia,,,65,,,,0.2%,,
Canada,,,53,,,,0.1%,,
State,Students  % Total,,,,,,,,
Texas,35865,,,86.6%,,,,,
Louisiana,239,,,0.6%,,,,,
California,174,,,0.4%,,,,,
New Mexico,97,,,0.2%,,,,,
Oklahoma,96,,,0.2%,,,,,
Florida,94,,,0.2%,,,,,
Illinois,93,,,0.2%,,,,,
Arkansas,77,,,0.2%,,,,,
Colorado,75,,,0.2%,,,,,
Missouri,73,,,0.2%,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,6415,,,15.5%,,,,
Brazos,,2703,,,6.5%,,,,
Dallas,,2118,,,5.1%,,,,
Tarrant,,1994,,,4.8%,,,,
Bexar,,1917,,,4.6%,,,,
Fort Bend,,1314,,,3.2%,,,,
Montgomery,,1060,,,2.6%,,,,
Travis,,1025,,,2.5%,,,,
Collin,,930,,,2.2%,,,,
Denton,,723,,,1.7%,,,,
