Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Albania,,1,,,1,
Algeria,,,1,,1,
Angola,1,2,,,3,
Antigua and Barbuda,,1,,,1,
Argentina,3,8,8,,19,
Armenia,,3,1,,4,
Australia,3,2,1,,6,
Austria,1,,2,,3,
Azerbaijan,,3,,,3,
Bangladesh,8,7,9,,24,
Belarus,,2,5,,7,
Belgium,1,,,,1,
Belize (British Honduras),1,,,,1,
Bolivia,12,2,3,,17,
Bosnia-Herzegovina,1,,,,1,
Botswana,,,1,,1,
Brazil,10,9,14,,33,
Bulgaria,,1,7,,8,
Burma (Myanmar),,,1,,1,
Cameroon,,1,1,,2,
Canada,23,11,19,,53,
Chile,1,1,6,,8,
"China, People's Rep of",20,200,423,,643,
Colombia,13,35,17,,65,
Congo,1,,,,1,
Costa Rica,9,1,1,,11,
Cote d'Ivoire (Ivory Coast),,1,1,,2,
Croatia,2,,,,2,
Cyprus,,1,,,1,
Czech Republic,,2,,,2,
Denmark,,2,1,,3,
Dominica,,,1,,1,
Dominican Republic,2,2,2,,6,
Ecuador,10,7,1,,18,
Egypt (A.R.E.),1,2,20,,23,
El Salvador,3,2,,,5,
England,1,,,,1,
Eritrea,,,2,,2,
Ethiopia,,2,,,2,
France,9,19,8,,36,
Gaza Strip,,1,,,1,
Georgia (C.I.S.),,,2,,2,
Germany,8,13,8,,29,
Ghana,1,3,4,,8,
Greece,1,2,10,,13,
Guatemala,14,1,1,,16,
