Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Qatar,1,,,,1,
Romania,1,3,11,,15,
Russia,3,5,18,,26,
Rwanda,,2,1,,3,
Saint Kitts & Nevis,,,1,,1,
San Marino,,,1,,1,
Saudi Arabia,3,4,9,,16,
Serbia,,6,7,,13,
Sierra Leone,1,,,,1,
Singapore,2,1,3,,6,
South Africa,,1,1,,2,
Spain,4,1,1,,6,
Sri Lanka (Ceylon),,3,6,,9,
St. Lucia,1,,,,1,
Sudan,,,1,,1,
Suriname,,1,,,1,
Sweden,1,,2,,3,
Switzerland,2,2,1,,5,
Syria,,1,2,,3,
Taiwan,10,37,80,,127,
Tanzania,,1,,,1,
Thailand,2,12,23,,37,
Trinidad & Tobago,1,1,1,,3,
Tunisia,2,,,,2,
Turkey,4,26,55,,85,
Turks & Caicos Islands,1,,,,1,
Uganda,,2,1,,3,
Ukraine,,6,6,,12,
United Arab Emirates,4,2,2,,8,
United Kingdom,9,,3,,12,
United States,"32,775","3,054","1,691",510,"38,030",
Uruguay,2,3,3,,8,
Uzbekistan,1,2,1,,4,
Venezuela,7,17,14,,38,
Viet Nam Socialist Republic,5,3,5,,13,
Yemen,,1,,,1,
"Zambia
Zimbabwe  (Rhodesia)",,1,"1
6",,"1
7",
,,,,,,
