Spring 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"5,016",-3.5%,600,-4.9%,548,-0.4%,,,"6,164",-3.4%,
Gender,Female,"2,329",-2.1%,297,-5.7%,232,8.9%,,,"2,858",-1.7%,
,Male,"2,687",-4.7%,303,-4.1%,316,-6.2%,,,"3,306",-4.8%,
Ethnicity,White,"4,278",-3.5%,420,-2.6%,254,-5.6%,,,"4,952",-3.5%,
,Black,129,1.6%,12,20.0%,7,16.7%,,,148,3.5%,
,Hispanic,412,-1.7%,37,23.3%,17,0.0%,,,466,0.0%,
,Asian,83,-3.5%,4,-20.0%,11,-31.3%,,,98,-8.4%,
,American Indian,41,0.0%,1,0.0%,,,,,42,0.0%,
,International,43,-12.2%,114,-17.4%,256,7.1%,,,413,-3.1%,
,Unknown/Other,30,-30.2%,12,-25.0%,3,0.0%,,,45,-27.4%,
TAMU Age,<18,1,100.0%,,,,,,,1,100.0%,
Categories,18-21,"2,050",-2.1%,1,100.0%,,,,,"2,051",-2.1%,
,22-25,"2,686",-4.2%,272,-7.8%,18,5.9%,,,"2,976",-4.5%,
,26-30,192,-6.8%,215,-1.4%,210,0.0%,,,617,-2.7%,
,31-39,50,-12.3%,88,6.0%,220,4.3%,,,358,2.0%,
,40+,37,5.7%,24,-31.4%,100,-10.7%,,,161,-11.5%,
Enrollment,1st Time in College,7,40.0%,,,,,,,7,40.0%,
Status,1st Time PB,8,60.0%,18,38.5%,,,,,26,44.4%,
,1st Time Graduate,,,54,8.0%,16,6.7%,,,70,7.7%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,156,-19.2%,,,,,,,156,-19.2%,
,Readmitted,59,25.5%,,,0,-100.0%,,,59,20.4%,
,Continuing,"4,786",-3.3%,528,-7.0%,532,-0.2%,,,"5,846",-3.4%,
Tuition,Resident Tuition,"4,778",-3.5%,368,1.4%,190,-2.6%,,,"5,336",-3.2%,
Status,Non-Resident Tuition,111,-5.1%,44,-10.2%,66,-16.5%,,,221,-9.8%,
,Tuition  Exemption/Waiver,127,-1.6%,188,-14.2%,292,5.8%,,,607,-2.7%,
Residency,Texas Resident,"4,789",-3.4%,369,0.5%,192,-3.0%,,,"5,350",-3.2%,
Status,"Non-TX, US Resident",181,-1.6%,116,-7.9%,97,-13.4%,,,394,-6.6%,
,"Non-TX, Non-US Resident",46,-14.8%,115,-16.7%,259,7.9%,,,420,-2.8%,
SCH,< 6 SCH,112,8.7%,133,4.7%,114,-8.8%,,,359,1.1%,
Categories,6-8 SCH,232,2.7%,38,-17.4%,24,-7.7%,,,294,-1.3%,
,9-11 SCH,332,-1.5%,386,-10.6%,399,5.0%,,,"1,117",-2.8%,
,12-14 SCH,"2,736",-5.9%,39,62.5%,10,-44.4%,,,"2,785",-5.6%,
,15-17 SCH,"1,467",0.5%,4,100.0%,1,0.0%,,,"1,472",0.6%,
,>17 SCH,137,-16.0%,,,,,,,137,-16.0%,
Ft/Pt:,Less Than Half Time,89,-2.2%,103,-1.0%,98,-11.7%,,,290,-5.2%,
"TAMU
Status","Half-Time
Three-Quarter Time","213
332","-0.9%
0.0%",60,-10.4%,37,-5.1%,,,"310
332","-3.4%
0.0%",
,Full-Time,"4,382",-3.9%,437,-5.0%,413,3.3%,,,"5,232",-3.5%,
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,
