Office of Institutional Studies and Planning,,,,,
for the Corps of Cadets,,,,,
Spring 2005,,,,,
Official Certified 12th Class Day Data,,,,,
Spring 2005,,Not in Corps,In Corps,Grand Total,
Head Count,Total,"39,369","2,060","41,429",
Gender,Female,"19,754",152,"19,906",
,Male,"19,615","1,908","21,523",
Ethnicity,White,"29,682","1,688","31,370",
,Black,"1,027",34,"1,061",
,Hispanic,"3,653",254,"3,907",
,Asian,"1,240",51,"1,291",
,American Indian,178,15,193,
,International,"3,327",9,"3,336",
,Unknown/Other,262,9,271,
TAMU Age,<18,3,,3,
Categories,18-21,"17,315","1,140","18,455",
,22-25,"15,257",884,"16,141",
,26-30,"3,538",31,"3,569",
,31-39,"2,234",5,"2,239",
,40+,"1,022",,"1,022",
College,Agriculture,"5,827",337,"6,164",
,Architecture,"1,574",106,"1,680",
,Business Admin,"4,398",129,"4,527",
,Education,"4,966",92,"5,058",
,Engineering,"7,430",469,"7,899",
,G. Bush School of Govt,175,5,180,
,Geosciences,670,49,719,
,Liberal Arts,"6,327",450,"6,777",
,Science,"2,435",69,"2,504",
,Veterinary Medicine,"2,382",48,"2,430",
,General Studies,"3,072",306,"3,378",
,Other - Special Populations,113,,113,
Enrollment,1st Time in College,89,2,91,
Status,1st Time PB,132,3,135,
,1st Time Graduate,383,1,384,
,1st Time Transfer,733,11,744,
,Readmitted,283,18,301,
,Continuing,"37,749","2,025","39,774",
Tuition,Resident Tuition,"34,000","1,796","35,796",
Status,Non-Resident Tuition,"1,630",18,"1,648",
,Tuition Exemption/Waiver,"3,739",246,"3,985",
Residency,Texas Resident,"34,041","1,816","35,857",
Status,"Non-TX, US Resident","1,946",234,"2,180",
,"Non-TX, Non-US Resident","3,382",10,"3,392",
SCH,< 6 SCH,"2,274",41,"2,315",
Categories,6-8 SCH,"1,926",47,"1,973",
,9-11 SCH,"6,428",70,"6,498",
,12-14 SCH,"18,576","1,046","19,622",
,15-17 SCH,"8,944",767,"9,711",
,>17 SCH,"1,221",89,"1,310",
Ft/Pt:,Less Than Half Time,"1,869",36,"1,905",
TAMU,Half-Time,"1,823",42,"1,865",
Status,Three-Quarter Time,"1,882",55,"1,937",
,Full-Time,"33,795","1,927","35,722",
"Prepared by OISP, 28 Mar 05",,,,,
