Spring 2005,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,32,-3.0%,1,100.0%,4,33.3%,1,100.0%,2,100.0%,21,5.0%,2,-33.3%,57,1.8%,
,ENGS,31,82.4%,,,,,3,200.0%,,,,,,,38,81.0%,
,ENST,32,33.3%,0,-100.0%,5,25.0%,,,,,1,0.0%,,,38,26.7%,
,ESCI,2,-33.3%,,,,,,,,,,,,,2,-33.3%,
,GEOG,128,-8.6%,2,-33.3%,20,25.0%,2,100.0%,,,20,42.9%,2,100.0%,176,0.6%,
,GEOL,119,2.6%,,,10,150.0%,2,100.0%,,,24,-4.0%,3,0.0%,158,6.0%,
,GEOP,23,4.5%,1,0.0%,1,0.0%,1,-50.0%,1,0.0%,24,50.0%,0,-100.0%,51,15.9%,
,GEOS,4,0.0%,0,-100.0%,,,,,,,,,,,4,-20.0%,
,METR,114,5.6%,,,13,160.0%,2,100.0%,,,0,-100.0%,,,129,10.3%,
,OCNG,42,-4.5%,,,2,100.0%,1,0.0%,,,21,-19.2%,,,66,-8.3%,
,Subtotal,527,3.1%,4,-33.3%,55,61.8%,12,71.4%,3,200.0%,111,5.7%,7,-12.5%,719,7.0%,
Liberal Arts,AMST,25,-10.7%,,,4,33.3%,,,,,,,,,29,-6.5%,
,ANTH,184,10.2%,0,-100.0%,17,-29.2%,3,-40.0%,1,0.0%,16,33.3%,4,-33.3%,225,4.2%,
,COML,1,100.0%,,,1,100.0%,,,,,2,-33.3%,,,4,33.3%,
,ECON,434,-14.7%,12,-25.0%,71,0.0%,25,-13.8%,1,0.0%,89,1.1%,5,-44.4%,637,-11.9%,
,ENGL,663,14.9%,24,-7.7%,50,-7.4%,13,18.2%,7,40.0%,25,4.2%,7,-36.4%,789,11.4%,
,FREN,10,0.0%,1,100.0%,2,0.0%,1,100.0%,,,,,,,14,16.7%,
,GERM,9,50.0%,,,1,-50.0%,0,-100.0%,,,,,,,10,11.1%,
,HISP,3,100.0%,,,7,100.0%,,,,,,,,,10,100.0%,
,HIST,619,8.6%,8,33.3%,49,0.0%,6,50.0%,2,-50.0%,3,0.0%,12,-7.7%,699,7.7%,
,INTS,265,-0.4%,11,10.0%,66,-1.5%,9,-30.8%,4,0.0%,4,-20.0%,2,-66.7%,361,-2.7%,
,JOUR,93,-61.9%,3,-57.1%,8,-46.7%,2,0.0%,0,-100.0%,1,0.0%,2,-33.3%,109,-60.1%,
,MODL,5,-28.6%,,,3,-57.1%,,,,,1,-50.0%,,,9,-43.8%,
,MUSC,20,-13.0%,1,-50.0%,3,50.0%,,,,,,,,,24,-11.1%,
,PHIL,109,-3.5%,4,300.0%,15,-16.7%,4,100.0%,,,5,25.0%,3,-62.5%,140,-4.1%,
,POLS,794,-7.5%,29,11.5%,110,5.8%,24,33.3%,6,100.0%,17,30.8%,5,0.0%,985,-4.1%,
,PSYC,"1,034",-9.9%,49,-3.9%,164,7.2%,36,-7.7%,7,40.0%,17,6.3%,7,-56.3%,"1,314",-7.9%,
,RUSS,4,0.0%,,,0,-100.0%,,,,,,,1,100.0%,5,0.0%,
,SCOM,669,-0.4%,10,25.0%,67,-1.5%,5,25.0%,3,-57.1%,9,28.6%,5,-44.4%,768,-0.9%,
,SOCI,271,9.3%,24,71.4%,53,20.5%,12,71.4%,4,100.0%,20,0.0%,2,100.0%,386,14.9%,
,SPAN,70,27.3%,1,100.0%,31,-11.4%,1,100.0%,,,,,,,103,14.4%,
,STJR,5,-44.4%,1,0.0%,0,-100.0%,,,,,5,-16.7%,,,11,-35.3%,
,TCMS,61,154.2%,1,100.0%,5,150.0%,6,500.0%,1,100.0%,1,100.0%,,,75,177.8%,
,THAR,61,0.0%,0,-100.0%,9,-10.0%,,,,,,,,,70,-4.1%,
,Subtotal,"5,409",-3.4%,179,4.7%,736,0.5%,147,8.1%,36,9.1%,215,5.4%,55,-36.8%,"6,777",-2.6%,
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,,,,,,,
