Summer 2010,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,19,0.0%,2,100.0%,1,100.0%,2,100.0%,0,-100.0%,18,-18.2%,0,-100.0%,38,-9.5%,
,ENGS,22,15.8%,,,6,0.0%,,,,,,,,,30,20.0%,
,ENST,22,37.5%,,,4,100.0%,1,0.0%,,,,,,,29,61.1%,
,GEOG,46,21.1%,1,100.0%,7,16.7%,3,0.0%,,,7,0.0%,1,-50.0%,65,14.0%,
,GEOL,79,6.8%,2,100.0%,11,57.1%,1,100.0%,0,-100.0%,15,-21.1%,,,108,6.9%,
,GEOP,5,-58.3%,,,0,-100.0%,1,100.0%,1,100.0%,22,57.1%,,,29,7.4%,
,GEOS,2,100.0%,,,,,,,,,,,,,2,100.0%,
,MARB,1,100.0%,,,,,,,,,,,,,1,100.0%,
,METR,17,-22.7%,1,100.0%,6,20.0%,,,0,-100.0%,0,-100.0%,,,24,-17.2%,
,OCNG,33,0.0%,,,1,100.0%,2,100.0%,,,26,30.0%,,,62,17.0%,
,SPSG,1,-50.0%,,,,,,,,,,,,,1,-50.0%,
,USGE,1,-50.0%,,,,,,,,,,,,,1,-50.0%,
,WMHS,9,-18.2%,,,2,100.0%,,,,,3,-40.0%,,,14,-17.6%,
,Subtotal,257,3.6%,6,500.0%,38,46.2%,10,150.0%,1,-66.7%,91,3.4%,1,-66.7%,404,8.3%,
Liberal Arts,AMST,3,200.0%,,,0,-100.0%,,,,,,,,,3,50.0%,
,ANTH,58,9.4%,1,0.0%,5,-37.5%,1,-66.7%,,,2,0.0%,,,67,0.0%,
,BIOL,1,100.0%,,,,,,,,,,,,,1,100.0%,
,CLSS,1,-50.0%,,,,,,,,,,,,,1,-50.0%,
,COMM,190,-31.4%,15,-11.8%,44,22.2%,4,100.0%,3,0.0%,6,0.0%,0,-100.0%,262,-23.6%,
,ECON,142,-11.3%,2,-33.3%,20,11.1%,17,6.3%,1,100.0%,38,-7.3%,2,100.0%,222,-7.1%,
,ENGL,187,2.7%,9,-10.0%,33,3.1%,11,10.0%,2,0.0%,8,-20.0%,,,250,1.6%,
,FREN,3,-25.0%,,,1,100.0%,1,0.0%,,,,,,,5,0.0%,
,GERM,0,-100.0%,,,,,,,,,1,100.0%,,,1,0.0%,
,HISP,4,0.0%,,,4,-42.9%,,,,,2,100.0%,,,10,-16.7%,
,HIST,204,-3.8%,7,0.0%,33,10.0%,6,200.0%,2,100.0%,1,0.0%,2,0.0%,255,0.0%,
,INTS,146,10.6%,7,75.0%,49,32.4%,6,200.0%,1,0.0%,2,-50.0%,1,100.0%,212,17.8%,
,MODL,2,-50.0%,,,4,300.0%,,,,,,,,,6,20.0%,
,MUSC,6,50.0%,2,100.0%,3,200.0%,,,,,,,,,11,120.0%,
,NUTR,1,-66.7%,,,,,,,,,,,,,1,-66.7%,
,PHIL,29,7.4%,2,100.0%,4,-42.9%,0,-100.0%,,,,,1,0.0%,36,-2.7%,
,POLS,208,-13.3%,16,-40.7%,34,-24.4%,9,-10.0%,5,66.7%,8,-20.0%,0,-100.0%,280,-17.9%,
,PSYC,318,-8.9%,26,13.0%,87,17.6%,25,4.2%,3,-40.0%,6,0.0%,0,-100.0%,465,-4.3%,
,RUSS,2,100.0%,,,1,100.0%,,,,,,,,,3,200.0%,
,SOCI,104,-10.3%,22,-31.3%,40,29.0%,7,-12.5%,0,-100.0%,4,0.0%,2,-71.4%,179,-10.1%,
,SPAN,18,-14.3%,1,100.0%,18,0.0%,,,,,1,100.0%,,,38,-2.6%,
,TCMS,22,-12.0%,4,300.0%,3,0.0%,3,50.0%,,,,,,,32,3.2%,
,THAR,10,42.9%,,,2,-60.0%,,,,,,,,,12,0.0%,
,USLA,,,,,1,100.0%,,,,,,,,,1,100.0%,
,WGST,2,100.0%,,,3,100.0%,,,,,,,,,5,100.0%,
,Subtotal,"1,661",-9.0%,114,-9.5%,389,9.9%,90,11.1%,17,6.3%,79,-7.1%,8,-66.7%,"2,358",-6.1%,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,,,,,
