"Summer 2010
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH BIOL CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine         VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies      GEST
Subtotal",White,,Black,,Hispanic,,Asian,,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,60,-30.2%,5,150.0%,31,181.8%,,5,66.7%,,1,0.0%,3,-50.0%,,4,300.0%,109,-0.9%,
,60,-30.2%,5,150.0%,31,181.8%,,5,66.7%,,1,0.0%,3,-50.0%,,4,300.0%,109,-0.9%,
,36,-12.2%,1,100.0%,7,40.0%,,,,,0,-100.0%,18,-25.0%,,0,-100.0%,62,-13.9%,
,23,9.5%,,,6,0.0%,,2,100.0%,,,,,,,,,31,14.8%,
,77,16.7%,3,200.0%,13,85.7%,,4,0.0%,,0,-100.0%,10,11.1%,,1,-50.0%,108,20.0%,
,87,0.0%,2,100.0%,11,37.5%,,2,100.0%,,1,0.0%,37,5.7%,,,,140,6.9%,
,34,3.0%,,,1,100.0%,,2,100.0%,,,,26,30.0%,,,,63,18.9%,
,257,3.6%,6,500.0%,38,46.2%,,10,150.0%,,1,-66.7%,91,3.4%,,1,-66.7%,404,8.3%,
,58,9.4%,1,0.0%,5,-37.5%,,1,-66.7%,,,,2,0.0%,,,,67,0.0%,
,1,100.0%,,,,,,,,,,,,,,,,1,100.0%,
,151,13.5%,7,75.0%,53,39.5%,,6,200.0%,,1,0.0%,2,-50.0%,,1,100.0%,221,21.4%,
,212,-29.8%,19,5.6%,47,20.5%,,7,75.0%,,3,0.0%,6,0.0%,,0,-100.0%,294,-21.4%,
,142,-11.3%,2,-33.3%,20,11.1%,,17,6.3%,,1,100.0%,38,-7.3%,,2,100.0%,222,-7.1%,
,187,2.7%,9,-10.0%,33,3.1%,,11,10.0%,,2,0.0%,8,-20.0%,,,,250,1.6%,
,6,-25.0%,,,2,100.0%,,1,0.0%,,,,1,100.0%,,,,10,11.1%,
,24,-17.2%,1,100.0%,26,0.0%,,,,,,,3,200.0%,,,,54,-3.6%,
,204,-3.8%,7,0.0%,33,10.0%,,6,200.0%,,2,100.0%,1,0.0%,,2,0.0%,255,0.0%,
,29,7.4%,2,100.0%,4,-42.9%,,0,-100.0%,,,,,,,1,0.0%,36,-2.7%,
,208,-13.3%,16,-40.7%,34,-24.4%,,9,-10.0%,,5,66.7%,8,-20.0%,,0,-100.0%,280,-17.9%,
,16,45.5%,2,100.0%,5,-16.7%,,,,,,,,,,,,23,35.3%,
,318,-8.9%,26,13.0%,87,17.6%,,25,4.2%,,3,-40.0%,6,0.0%,,0,-100.0%,465,-4.3%,
,105,-11.8%,22,-31.3%,40,29.0%,,7,-12.5%,,0,-100.0%,4,0.0%,,2,-71.4%,180,-10.9%,
,"1,661",-9.0%,114,-9.5%,389,9.9%,,90,11.1%,,17,6.3%,79,-7.1%,,8,-66.7%,"2,358",-6.1%,
,283,3.7%,15,15.4%,68,13.3%,,67,17.5%,,4,0.0%,37,5.7%,,1,100.0%,475,7.5%,
,142,10.1%,10,0.0%,22,0.0%,,11,-8.3%,,3,0.0%,129,15.2%,,15,7.1%,332,9.9%,
,6,50.0%,2,0.0%,1,100.0%,,,,,,,,,,,,9,50.0%,
,84,-16.0%,3,0.0%,20,66.7%,,6,100.0%,,,,54,-1.8%,,0,-100.0%,167,-4.0%,
,60,-6.3%,2,-50.0%,12,-14.3%,,6,-33.3%,,2,0.0%,65,8.3%,,8,100.0%,155,-1.3%,
,39,-29.1%,1,-66.7%,16,433.3%,,8,60.0%,,,,45,-2.2%,,2,100.0%,111,-1.8%,
,614,-1.8%,33,-5.7%,139,25.2%,,98,14.0%,,9,0.0%,330,7.1%,,26,30.0%,"1,249",4.6%,
,393,-5.3%,13,44.4%,79,-1.3%,,40,-14.9%,,3,200.0%,4,-20.0%,,10,25.0%,542,-4.1%,
,20,5.3%,1,0.0%,1,0.0%,,0,-100.0%,,,,18,5.9%,,0,-100.0%,40,0.0%,
,3,0.0%,,,,,,,,,,,,,,,,3,0.0%,
,0,-100.0%,,,1,0.0%,,,,,,,5,-16.7%,,,,6,-25.0%,
,21,-4.5%,1,-50.0%,1,-50.0%,,1,-50.0%,,,,10,11.1%,,0,-100.0%,34,-10.5%,
,16,14.3%,2,0.0%,5,100.0%,,2,0.0%,,,,9,0.0%,,,,34,25.9%,
,453,-4.4%,17,21.4%,87,3.6%,,43,-17.3%,,3,200.0%,46,0.0%,,10,0.0%,659,-3.2%,
,616,0.7%,84,-12.5%,213,69.0%,,59,47.5%,,5,-28.6%,15,7.1%,,10,25.0%,"1,002",11.0%,
,616,0.7%,84,-12.5%,213,69.0%,,59,47.5%,,5,-28.6%,15,7.1%,,10,25.0%,"1,002",11.0%,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,,,,,,,
