"Summer 2010
Agriculture         Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Architecture        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Business              Texas Resident
Admin                 Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Education            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Engineering        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
G. Bush               Texas Resident
School of            Non-TX, US Resident
Subtotal Geosciences        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Liberal Arts         Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Science                Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Veterinary           Texas Resident
Medicine             Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
General               Texas Resident
Studies                Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Other -                 Texas Resident
Special                Non-TX, US Resident
Subtotal
Total                    Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Grand Total",Resident Tuition,,Non-Resident Tuition,,Tuition Exemption/Waiver,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,
,"2,336",-2.9%,5,-16.7%,58,107.1%,"2,399",-1.7%,
,,,73,21.7%,187,-2.1%,260,3.6%,
,2,0.0%,48,6.7%,239,-5.2%,289,-3.3%,
,"2,338",-2.9%,126,13.5%,484,2.8%,"2,948",-1.4%,
,503,-12.5%,,,15,66.7%,518,-11.3%,
,,,17,70.0%,12,-53.8%,29,-19.4%,
,2,0.0%,47,-21.7%,61,-4.7%,110,-12.7%,
,505,-12.5%,64,-8.6%,88,-11.1%,657,-11.9%,
,"1,736",-5.3%,2,100.0%,21,61.5%,"1,759",-4.8%,
,,,20,42.9%,34,-10.5%,54,3.8%,
,1,0.0%,40,66.7%,61,5.2%,102,22.9%,
,"1,737",-5.3%,62,63.2%,116,6.4%,"1,915",-3.4%,
,"2,125",-7.6%,5,100.0%,28,-3.4%,"2,158",-7.3%,
,,,35,25.0%,63,-10.0%,98,0.0%,
,3,200.0%,33,32.0%,55,1.9%,91,13.8%,
,"2,128",-7.5%,73,37.7%,146,-4.6%,"2,347",-6.3%,
,"2,498",5.6%,4,100.0%,52,79.3%,"2,554",6.5%,
,,,56,-22.2%,208,4.5%,264,-2.6%,
,19,11.8%,338,4.3%,929,4.7%,"1,286",4.7%,
,"2,517",5.6%,398,0.0%,"1,189",6.6%,"4,104",5.3%,
,77,2.7%,1,0.0%,14,75.0%,92,9.5%,
,,,10,11.1%,4,-63.6%,14,-30.0%,
,,,1,100.0%,2,-66.7%,3,-50.0%,
,77,2.7%,12,20.0%,20,-20.0%,109,-0.9%,
,257,11.3%,,,6,50.0%,263,11.9%,
,,,13,225.0%,37,-17.8%,50,2.0%,
,0,-100.0%,22,-21.4%,69,15.0%,91,2.2%,
,257,10.8%,35,9.4%,112,2.8%,404,8.3%,
,"2,034",-7.1%,4,0.0%,47,113.6%,"2,085",-5.9%,
,,,44,-31.3%,148,1.4%,192,-8.6%,
,3,100.0%,30,15.4%,48,-20.0%,81,-5.8%,
,"2,037",-6.9%,78,-17.0%,243,6.6%,"2,358",-6.1%,
,688,-0.1%,3,200.0%,24,166.7%,715,2.3%,
,,,33,-26.7%,166,20.3%,199,8.7%,
,5,25.0%,23,4.5%,307,7.3%,335,7.4%,
,693,0.0%,59,-13.2%,497,14.8%,"1,249",4.6%,
,565,-3.1%,0,-100.0%,4,-20.0%,569,-3.4%,
,,,9,-30.8%,35,6.1%,44,-4.3%,
,0,-100.0%,5,25.0%,41,0.0%,46,0.0%,
,565,-3.3%,14,-22.2%,80,1.3%,659,-3.2%,
,931,10.4%,0,-100.0%,10,400.0%,941,11.2%,
,,,26,18.2%,19,0.0%,45,9.8%,
,1,100.0%,13,0.0%,2,-33.3%,16,0.0%,
,932,10.6%,39,8.3%,31,29.2%,"1,002",11.0%,
,15,200.0%,,,,,15,200.0%,
,,,1,100.0%,,,1,100.0%,
,,,7,600.0%,2,100.0%,9,800.0%,
,15,200.0%,8,700.0%,2,100.0%,25,316.7%,
,"13,765",-2.3%,24,50.0%,279,76.6%,"14,068",-1.4%,
,,,337,-1.2%,913,-0.3%,"1,250",-0.6%,
,36,24.1%,607,6.1%,"1,816",2.5%,"2,459",3.7%,
,"13,801",-2.3%,968,4.2%,"3,008",5.7%,"17,777",-0.7%,
"Prepared by OISP, 05 Aug 10",,,,,,,,,
