Summer 2010,,Undergraduate,,,,Masters,,,,PhD,,Professiona l,Total,
,,1st Time in College,1st Time Transfer,Readmitte d,Continuing,1st Time PB,1st Time Graduate,Readmitte d,Continuing,1st Time Graduate,Continuing,Continuing,,
"Engineering           AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN MSEN NUEL NUEN OCEL OCEN PETE PETL RHEL RHEN SENG USEN",,"1
3
2
2
1
4
2
4
2
1
1","2
2
2
2
5
4
4
1
2","2
1
1
1
2
1
3
2","25
122
44
75
24
47
7
23
27
218
52
35
31
231
46
130
97
44
38
156
39
191
37
318
11
72
14
42
48
69
4
22
3",,"2
1
3
2
1
1
2
1
4
8
1",1,"52
28
26
34
32
63
105
97
11
6
59
144
20
34
21
156
5","8
1
1
2
2
7
7
4
8
6
3
1
2","48
28
21
16
73
57
84
119
4
39
2
107
30
28
9
65",,"26
234
47
132
26
96
9
75
32
323
174
36
38
430
50
355
4
12
98
44
6
45
157
50
294
2
43
580
57
12
141
16
73
279
72
5
22
6
3",
,Subtotal,23,24,13,"2,342",,26,1,893,52,730,,"4,104",
G. Bush School,CAIA,,,,,16,1,1,23,,,,39,
of Govt,CHLS,,,,,11,,,8,,,,19,
,CNPM,,,,,5,,,13,,,,18,
,CNSA,,,,,9,,,,,,,9,
,INTA,,,,,,,,4,,,,5,
,PSAA,,,,,,1,,17,,,,19,
,Subtotal,,,,,41,2,1,65,,,,109,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,
