Summer 2010,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Engineering       AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN MSEN NUEL NUEN OCEL OCEN PETE PETL RHEL RHEN SENG USEN",,"21
158
25
74
14
32
6
13
15
168
63
19
22
229
20
90
3
6
67
30
3
35
121
32
131
1
34
300
12
8
94
14
33
53
42
3
14
2","0.0%
1.3%
19.0%
1.4%
55.6%
-15.8%
-33.3%
-7.1%
-62.5%
21.7%
-7.4%
-5.0%
69.2%
-7.3%
-20.0%
-5.3%
50.0%
100.0%
81.1%
-26.8%
-40.0%
29.6%
3.4%
18.5%
14.9%
-50.0%
-8.1%
8.3%
50.0%
-75.0%
64.9%
180.0%
-52.2%
-26.4%
68.0%
-40.0%
250.0%
100.0%","0
4
2
1
0
5
0
1
2
5
3
4
1
4
4
12
1
4
2
1
10
4
9
1
2
12
1
0
2
2
10
0
1
1","-100.0%
33.3%
100.0%
100.0%
-100.0%
400.0%
-100.0%
100.0%
-33.3%
0.0%
50.0%
300.0%
-50.0%
100.0%
-20.0%
-20.0%
0.0%
100.0%
-50.0%
-66.7%
400.0%
300.0%
125.0%
0.0%
0.0%
9.1%
0.0%
-100.0%
100.0%
0.0%
0.0%
-100.0%
100.0%
100.0%","4
28
7
14
8
9
1
3
9
20
10
4
7
50
13
23
1
15
8
8
18
12
44
4
57
3
1
9
2
12
20
6
2
3","-33.3%
27.3%
133.3%
16.7%
-11.1%
50.0%
-66.7%
50.0%
0.0%
53.8%
0.0%
33.3%
40.0%
11.1%
-13.3%
15.0%
100.0%
66.7%
-55.6%
33.3%
5.9%
140.0%
-4.3%
-66.7%
35.7%
-25.0%
-75.0%
28.6%
-50.0%
-36.8%
66.7%
0.0%
0.0%
200.0%","1
7
5
15
3
6
1
6
3
25
8
4
0
14
3
33
1
6
3
2
1
5
0
14
3
23
0
5
4
16
8
0
4","0.0%
0.0%
150.0%
7.1%
100.0%
-14.3%
0.0%
50.0%
-70.0%
177.8%
100.0%
100.0%
-100.0%
-22.2%
-25.0%
120.0%
100.0%
500.0%
-40.0%
100.0%
0.0%
25.0%
-100.0%
27.3%
100.0%
15.0%
-100.0%
66.7%
100.0%
0.0%
300.0%
-100.0%
300.0%","1
1
1
3
2
1
2
1
1
1
0
1
1","100.0%
100.0%
0.0%
100.0%
100.0%
0.0%
0.0%
0.0%
0.0%
-50.0%
-100.0%
0.0%
100.0%","0
35
1
28
1
43
1
52
0
101
88
1
0
131
5
194
1
3
6
1
1
2
1
94
0
188
41
2
29
0
21
176
15
6","-100.0%
-22.2%
0.0%
-3.4%
0.0%
65.4%
-50.0%
18.2%
-100.0%
7.4%
6.0%
-66.7%
-100.0%
-3.7%
25.0%
1.6%
100.0%
100.0%
500.0%
-66.7%
0.0%
100.0%
-66.7%
-5.1%
-100.0%
-2.1%
17.1%
-60.0%
93.3%
-100.0%
-12.5%
15.8%
66.7%
100.0%","2
6
0
2
1
0
4
7
0
5
2
1
1
0
0
0
1
2
4
0","-33.3%
100.0%
-100.0%
-33.3%
100.0%
-100.0%
-73.3%
600.0%
-100.0%
400.0%
-60.0%
100.0%
0.0%
-100.0%
-100.0%
-100.0%
-50.0%
100.0%
33.3%
-100.0%","26
234
47
132
26
96
9
75
32
323
174
36
38
430
50
355
4
12
98
44
6
45
157
50
294
2
43
580
57
12
141
16
73
279
72
5
22
6
3","-21.2%
-0.8%
51.6%
2.3%
8.3%
23.1%
-43.8%
17.2%
-58.4%
24.7%
2.4%
-18.2%
46.2%
-4.7%
-7.4%
3.8%
100.0%
200.0%
96.0%
-38.0%
-14.3%
21.6%
10.6%
35.1%
6.1%
-33.3%
-23.2%
6.4%
14.0%
-72.7%
69.9%
60.0%
-37.6%
5.3%
67.4%
-44.4%
266.7%
100.0%
200.0%",
,Subtotal,"2,007",2.8%,111,15.6%,435,9.6%,229,34.7%,16,45.5%,"1,268",3.7%,38,-17.4%,"4,104",5.3%,
G. Bush,CAIA,17,-52.8%,1,100.0%,12,50.0%,4,33.3%,1,0.0%,1,0.0%,3,100.0%,39,-20.4%,
"School of
Govt",CHLS CNPM,"10
14","-23.1%
0.0%","2
2","100.0%
100.0%","6
2","100.0%
100.0%",,,,,,,1,100.0%,"19
18","35.7%
20.0%",
,CNSA,2,100.0%,,,7,100.0%,,,,,,,,,9,100.0%,
,INTA,3,-76.9%,,,1,100.0%,,,,,1,-50.0%,0,-100.0%,5,-68.8%,
,PSAA,14,40.0%,,,3,0.0%,1,100.0%,,,1,-66.7%,,,19,18.8%,
,Subtotal,60,-30.2%,5,150.0%,31,181.8%,5,66.7%,1,0.0%,3,-50.0%,4,300.0%,109,-0.9%,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,,,,,
