Demographic Summary Fall 1999,,,,,,,,,,,
University Total,,,,,,,,,,,
"Fall 1999
Head Count        Total
Gender                Male Female
Ethnic Origin      White
Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age         <18
Categories           18-21
22-25
26-30
31-39
40+
Enrollment         1st Time in College Status                  1st Time PB
1st Time Graduate 1st Time Professional 1st Time Transfer
Re-Admitted Continuing
Tuition                Resident Tuition
Status                  Non-Resident Tuition Tuition Exemption/Waiver
Residency           Texas Resident
Status                  Non-TX, US Resident
Non-TX, Non-US Resident
SCH                    < 6 SCH
Categories           6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                   Less Than Half Time
TAMU                Half-Time
Three-Quarter Time Full-Time",Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
,36077,,4013,,2853,,499,,43442,,
,18880,,2412,,1831,,165,,23288,,
,17197,,1601,,1022,,334,,20154,,
,29335,,2297,,1431,,454,,33517,,
,958,,71,,93,,,,1122,,
,3398,,192,,150,,21,,3761,,
,1194,,94,,51,,18,,1357,,
,169,,7,,7,,4,,187,,
,517,,1304,,1099,,,,2920,,
,506,,48,,22,,2,,578,,
,70,,,,,,,,70,,
,25424,,85,,,,17,,25526,,
,9400,,1966,,188,,309,,11863,,
,762,,1173,,1031,,116,,3082,,
,299,,535,,1035,,52,,1921,,
,122,,254,,599,,5,,980,,
,6695,,,,,,,,6695,,
,60,,,,,,,,60,,
,,,1588,,348,,,,1936,,
,,,,,,,131,,131,,
,2108,,3,,,,,,2111,,
,510,,,,,,,,510,,
,26704,,2422,,2505,,368,,31999,,
,33608,,1789,,1040,,471,,36908,,
,1151,,530,,473,,9,,2163,,
,1318,,1694,,1340,,19,,4371,,
,34151,,1972,,1161,,476,,37760,,
,1389,,731,,593,,23,,2736,,
,537,,1310,,1099,,,,2946,,
,510,,652,,852,,,,2014,,
,797,,252,,131,,,,1180,,
,1437,,2129,,1699,,,,5265,,
,22747,,760,,151,,,,23658,,
,9938,,200,,17,,,,10155,,
,648,,20,,3,,499,,1170,,
,276,,590,,728,,,,1594,,
,659,,316,,254,,,,1229,,
,1379,,1,,,,,,1380,,
,33763,,3106,,1871,,499,,39239,,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,
