College Science,,,,,,,,,,,,
Demographic Summary,,,,,,,,,,,,
Fall 1999,,,,,,,,,,,,
Fall 1999,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,1889,,311,,328,,,,2528,,
Gender,Male,795,,195,,230,,,,1220,,
,Female,1094,,116,,98,,,,1308,,
Ethnic,White,1444,,153,,131,,,,1728,,
Origin,Black,55,,8,,4,,,,67,,
,Hispanic,224,,9,,11,,,,244,,
,Asian,114,,11,,5,,,,130,,
,American Indian,2,,,,1,,,,3,,
,International,12,,126,,174,,,,312,,
,Unknown/Other,38,,4,,2,,,,44,,
TAMU Age,<18,2,,,,,,,,2,,
Categories,18-21,1486,,9,,,,,,1495,,
,22-25,364,,174,,52,,,,590,,
,26-30,28,,85,,179,,,,292,,
,31-39,6,,28,,85,,,,119,,
,40+,3,,15,,12,,,,30,,
Enrollment,1st Time in College,545,,,,,,,,545,,
Status,1st Time PB,5,,,,,,,,5,,
,1st Time Graduate,,,127,,40,,,,167,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,141,,,,,,,,141,,
,Re-Admitted,15,,,,,,,,15,,
,Continuing,1183,,184,,288,,,,1655,,
Tuition,Resident Tuition,1726,,44,,25,,,,1795,,
Status,Non-Resident Tuition,54,,6,,46,,,,106,,
,Tuition Exemption/Waiver,109,,261,,257,,,,627,,
Residency,Texas Resident,1776,,98,,55,,,,1929,,
Status,"Non-TX, US Resident",100,,87,,99,,,,286,,
,"Non-TX, Non-US Resident",13,,126,,174,,,,313,,
SCH,< 6 SCH,14,,30,,44,,,,88,,
Categories,6-8 SCH,32,,5,,1,,,,38,,
,9-11 SCH,50,,210,,268,,,,528,,
,12-14 SCH,1274,,65,,13,,,,1352,,
,15-17 SCH,493,,1,,1,,,,495,,
,>17 SCH,26,,,,1,,,,27,,
Ft/Pt:,Less Than Half Time,14,,28,,40,,,,82,,
TAMU,Half-Time,34,,8,,5,,,,47,,
Status,Three-Quarter Time,54,,,,,,,,54,,
,Full-Time,1787,,275,,283,,,,2345,,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,,
