Graduate Students,,,,,,,
Fall 1999,,,,,,,
Fall 1999,,G6: Non-Degreed PB,"G7:
Masters","G8:
Doctoral",G9: Probationary GR,"GRAND
Total",
Head Count,Total,267,3698,2853,48,6866,
Gender,Male,104,2278,1831,30,4243,
,Female,163,1420,1022,18,2623,
Ethnic,White,170,2120,1431,7,3728,
Origin,Black,20,51,93,,164,
,Hispanic,21,169,150,2,342,
,Asian,7,87,51,,145,
,American Indian,,7,7,,14,
,International,47,1218,1099,39,2403,
,Unknown/Other,2,46,22,,70,
TAMU Age,18-21,,85,,,85,
Categories,22-25,47,1897,188,22,2154,
,26-30,74,1084,1031,15,2204,
,31-39,58,467,1035,10,1570,
,40+,88,165,599,1,853,
College,Agriculture,21,629,488,1,1139,
,Architecture,4,244,72,1,321,
,Business Admin,7,618,86,2,713,
,Education,134,292,595,2,1023,
,Engineering,43,1031,704,21,1799,
,Geosciences,13,175,119,4,311,
,Liberal Arts,20,339,360,3,722,
,Science,15,283,328,13,639,
,Veterinary Medicine,6,44,101,1,152,
,Distance Education,4,1,,,5,
,G. Bush School of Govt,,42,,,42,
Enrollment,1st Time Graduate,22,1521,348,45,1936,
Status,1st Time Transfer,3,,,,3,
,Continuing,242,2177,2505,3,4927,
Tuition,Resident Tuition,173,1612,1040,4,2829,
Status,Non-Resident Tuition,22,499,473,9,1003,
,Tuition Exemption/Waiver,72,1587,1340,35,3034,
Residency,Texas Resident,191,1777,1161,4,3133,
Status,"Non-TX, US Resident",29,697,593,5,1324,
,"Non-TX, Non-US Resident",47,1224,1099,39,2409,
SCH,< 6 SCH,142,509,852,1,1504,
Categories,6-8 SCH,66,184,131,2,383,
,9-11 SCH,39,2067,1699,23,3828,
,12-14 SCH,12,728,151,20,911,
,15-17 SCH,2,196,17,2,217,
,>17 SCH,6,14,3,,23,
Ft/Pt:,Less Than Half Time,133,456,728,1,1318,
TAMU,Half-Time,75,239,254,2,570,
Status,Three-Quarter Time,,1,,,1,
,Full-Time,59,3002,1871,45,4977,
"Prepared by OISP, 30 Aug 00",,,,,,,
