College Engineering,,,,,,,,,,,,
Demographic Summary,,,,,,,,,,,,
Fall 1999,,,,,,,,,,,,
Fall 1999,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,8081,,1095,,704,,,,9880,,
Gender,Male,6479,,864,,611,,,,7954,,
,Female,1602,,231,,93,,,,1926,,
Ethnic,White,6103,,309,,166,,,,6578,,
Origin,Black,250,,9,,9,,,,268,,
,Hispanic,821,,30,,13,,,,864,,
,Asian,502,,24,,18,,,,544,,
,American Indian,44,,,,,,,,44,,
,International,258,,718,,497,,,,1473,,
,Unknown/Other,103,,5,,1,,,,109,,
TAMU Age,<18,28,,,,,,,,28,,
Categories,18-21,5537,,45,,,,,,5582,,
,22-25,2169,,570,,42,,,,2781,,
,26-30,238,,330,,316,,,,884,,
,31-39,89,,128,,301,,,,518,,
,40+,20,,22,,45,,,,87,,
Enrollment,1st Time in College,1726,,,,,,,,1726,,
Status,1st Time PB,13,,,,,,,,13,,
,1st Time Graduate,,,459,,98,,,,557,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,468,,,,,,,,468,,
,Re-Admitted,80,,,,,,,,80,,
,Continuing,5794,,636,,606,,,,7036,,
Tuition,Resident Tuition,7193,,246,,112,,,,7551,,
Status,Non-Resident Tuition,397,,255,,160,,,,812,,
,Tuition Exemption/Waiver,491,,594,,432,,,,1517,,
Residency,Texas Resident,7381,,268,,127,,,,7776,,
Status,"Non-TX, US Resident",432,,107,,81,,,,620,,
,"Non-TX, Non-US Resident",268,,720,,496,,,,1484,,
SCH,< 6 SCH,214,,169,,153,,,,536,,
Categories,6-8 SCH,139,,53,,13,,,,205,,
,9-11 SCH,311,,758,,491,,,,1560,,
,12-14 SCH,5301,,102,,41,,,,5444,,
,15-17 SCH,2025,,13,,5,,,,2043,,
,>17 SCH,91,,,,1,,,,92,,
Ft/Pt:,Less Than Half Time,33,,159,,142,,,,334,,
TAMU,Half-Time,139,,63,,25,,,,227,,
Status,Three-Quarter Time,317,,,,,,,,317,,
,Full-Time,7592,,873,,537,,,,9002,,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,,
