College Agriculture,,,,,,,,,,,,
Demographic Summary,,,,,,,,,,,,
Fall 1999,,,,,,,,,,,,
Fall 1999,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,5009,,651,,488,,,,6148,,
Gender,Male,2699,,333,,319,,,,3351,,
,Female,2310,,318,,169,,,,2797,,
Ethnic,White,4271,,473,,267,,,,5011,,
Origin,Black,114,,1,,4,,,,119,,
,Hispanic,365,,23,,17,,,,405,,
,Asian,75,,12,,8,,,,95,,
,American Indian,24,,1,,,,,,25,,
,International,62,,137,,185,,,,384,,
,Unknown/Other,98,,4,,7,,,,109,,
TAMU Age,<18,6,,,,,,,,6,,
Categories,18-21,2987,,9,,,,,,2996,,
,22-25,1806,,348,,39,,,,2193,,
,26-30,130,,191,,178,,,,499,,
,31-39,58,,81,,193,,,,332,,
,40+,22,,22,,78,,,,122,,
Enrollment,1st Time in College,530,,,,,,,,530,,
Status,1st Time PB,15,,,,,,,,15,,
,1st Time Graduate,,,190,,66,,,,256,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,422,,,,,,,,422,,
,Re-Admitted,105,,,,,,,,105,,
,Continuing,3937,,461,,422,,,,4820,,
Tuition,Resident Tuition,4674,,340,,145,,,,5159,,
Status,Non-Resident Tuition,148,,70,,98,,,,316,,
,Tuition Exemption/Waiver,187,,241,,245,,,,673,,
Residency,Texas Resident,4741,,368,,173,,,,5282,,
Status,"Non-TX, US Resident",207,,145,,129,,,,481,,
,"Non-TX, Non-US Resident",61,,138,,186,,,,385,,
SCH,< 6 SCH,87,,118,,123,,,,328,,
Categories,6-8 SCH,146,,32,,19,,,,197,,
,9-11 SCH,241,,436,,335,,,,1012,,
,12-14 SCH,2931,,58,,9,,,,2998,,
,15-17 SCH,1462,,7,,2,,,,1471,,
,>17 SCH,142,,,,,,,,142,,
Ft/Pt:,Less Than Half Time,78,,99,,108,,,,285,,
TAMU,Half-Time,145,,52,,33,,,,230,,
Status,Three-Quarter Time,241,,,,,,,,241,,
,Full-Time,4545,,500,,347,,,,5392,,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,,
