College Liberal Arts,,,,,,,,,,,,
Demographic Summary,,,,,,,,,,,,
Fall 1999,,,,,,,,,,,,
Fall 1999,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,5292,,362,,360,,,,6014,,
Gender,Male,1970,,181,,203,,,,2354,,
,Female,3322,,181,,157,,,,3660,,
Ethnic,White,4280,,245,,256,,,,4781,,
Origin,Black,160,,9,,11,,,,180,,
,Hispanic,605,,28,,16,,,,649,,
,Asian,98,,8,,8,,,,114,,
,American Indian,24,,2,,,,,,26,,
,International,42,,55,,63,,,,160,,
,Unknown/Other,83,,15,,6,,,,104,,
TAMU Age,<18,9,,,,,,,,9,,
Categories,18-21,3612,,,,,,,,3612,,
,22-25,1439,,145,,20,,,,1604,,
,26-30,144,,125,,128,,,,397,,
,31-39,55,,60,,134,,,,249,,
,40+,33,,32,,78,,,,143,,
Enrollment,1st Time in College,692,,,,,,,,692,,
Status,1st Time PB,8,,,,,,,,8,,
,1st Time Graduate,,,115,,36,,,,151,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,411,,1,,,,,,412,,
,Re-Admitted,107,,,,,,,,107,,
,Continuing,4074,,246,,324,,,,4644,,
Tuition,Resident Tuition,4977,,159,,151,,,,5287,,
Status,Non-Resident Tuition,147,,54,,57,,,,258,,
,Tuition Exemption/Waiver,168,,149,,152,,,,469,,
Residency,Texas Resident,5049,,176,,169,,,,5394,,
Status,"Non-TX, US Resident",198,,131,,128,,,,457,,
,"Non-TX, Non-US Resident",45,,55,,63,,,,163,,
SCH,< 6 SCH,61,,76,,138,,,,275,,
Categories,6-8 SCH,109,,25,,15,,,,149,,
,9-11 SCH,257,,237,,197,,,,691,,
,12-14 SCH,3090,,24,,9,,,,3123,,
,15-17 SCH,1628,,,,1,,,,1629,,
,>17 SCH,147,,,,,,,,147,,
Ft/Pt:,Less Than Half Time,54,,68,,111,,,,233,,
TAMU,Half-Time,106,,33,,41,,,,180,,
Status,Three-Quarter Time,266,,1,,,,,,267,,
,Full-Time,4866,,260,,208,,,,5334,,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,,
