Demographic Summary by Entry Status,,,,,,,,,,,
Fall 1999,,,,,,,,,,,
"Fall 1999
Head Count      Total
Gender             Male Female
Ethnic               White
Origin               Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age      <18
Categories        18-21
22-25
26-30
31-39
40+
College             Agriculture Architecture Business Admin Education Engineering Geosciences Liberal Arts Science
Veterinary Medicine Distance Education General Studies
G. Bush School of Govt
Student             Lower
Level                Upper Masters PhD Professional
Tuition             Resident Tuition
Status               Non-Resident Tuition Tuition Exemption/Waiver
Residency         Texas Resident
Status               Non-TX, US Resident
Non-TX, Non-US Resident
SCH                  < 6 SCH
Categories        6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                Less Than Half Time
TAMU              Half-Time
Status               Three-Quarter Time
Full-Time",Undergraduate,,,,,Graduate,,,Professional,,
,"1st Time in College
6695
3258
3437
5552
180
570
231
33
46
83
65
6625
4
1
530
191
872
274
1726
65
692
545
558
1242
6683
12
6049
174
472
6394
252
49
3
8
22
5800
856
6
3
10
26
6656","1st Time PB
60
33
27
53
2
3
1
1
2
24
17
12
5
15
1
7
13
3
8
5
8
60
54
3
3
57
3
9
11
9
21
10
9
9
9
33","1st Time Transfer
2108
1121
987
1752
26
160
54
10
55
51
1
1681
304
72
35
15
422
67
132
279
468
44
411
141
93
51
1339
769
1955
109
44
1991
62
55
24
48
77
1667
281
11
24
51
81
1952","Re-Admi tted
510
290
220
419
18
51
9
4
5
4
212
213
49
26
10
105
14
57
39
80
11
107
15
17
65
163
347
486
14
10
495
10
5
21
47
42
303
91
6
21
45
45
399","Contin uing
26704
14178
12526
21559
732
2614
899
122
411
367
4
16904
8855
623
226
92
3937
1224
5186
2225
5794
296
4074
1183
1508
1277
8340
18364
25064
851
789
25214
1062
428
453
683
1287
14956
8700
625
219
544
1218
24723",1st Time Graduate,1st Time Transfer,Contin uing,1st Time Professional,Contin uing,
,,,,,,1936,3,4927,131,368,
,,,,,,1181,1,3061,41,124,
,,,,,,755,2,1866,90,244,
,,,,,,977,3,2748,119,335,
,,,,,,21,,143,,,
,,,,,,88,,254,3,18,
,,,,,,33,,112,8,10,
,,,,,,2,,12,,4,
,,,,,,793,,1610,,,
,,,,,,22,,48,1,1,
,,,,,,84,,1,14,3,
,,,,,,1018,,1136,86,223,
,,,,,,497,2,1705,18,98,
,,,,,,231,,1339,11,41,
,,,,,,106,1,746,2,3,
,,,,,,256,,883,,,
,,,,,,105,,216,,,
,,,,,,413,,300,,,
,,,,,,180,1,842,,,
,,,,,,557,,1242,,,
,,,,,,63,,248,,,
,,,,,,151,1,570,,,
,,,,,,167,,472,,,
,,,,,,20,1,131,131,368,
,,,,,,2,,3,,,
,,,,,,22,,20,,,
,,,,,,1588,3,2422,,,
,,,,,,348,,2505,,,
,,,,,,,,,131,368,
,,,,,,746,3,2080,121,350,
,,,,,,297,,706,3,6,
,,,,,,893,,2141,7,12,
,,,,,,814,3,2316,122,354,
,,,,,,329,,995,9,14,
,,,,,,793,,1616,,,
,,,,,,71,1,1432,,,
,,,,,,85,,298,,,
,,,,,,1053,1,2774,,,
,,,,,,550,,361,,,
,,,,,,167,1,49,,,
,,,,,,10,,13,131,368,
,,,,,,63,1,1254,,,
,,,,,,93,,477,,,
,,,,,,1,,,,,
,,,,,,1779,2,3196,131,368,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,
