College Distance Education,,,,,,,,,,,,
Demographic Summary,,,,,,,,,,,,
Fall 1999,,,,,,,,,,,,
Fall 1999,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,5,,,,,,5,,
Gender,Male,,,5,,,,,,5,,
,Female,,,,,,,,,,,
Ethnic,White,,,5,,,,,,5,,
Origin,Black,,,,,,,,,,,
,Hispanic,,,,,,,,,,,
,Asian,,,,,,,,,,,
,American Indian,,,,,,,,,,,
,International,,,,,,,,,,,
,Unknown/Other,,,,,,,,,,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,,,,,,,,,
,22-25,,,1,,,,,,1,,
,26-30,,,1,,,,,,1,,
,31-39,,,1,,,,,,1,,
,40+,,,2,,,,,,2,,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,2,,,,,,2,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Re-Admitted,,,,,,,,,,,
,Continuing,,,3,,,,,,3,,
Tuition,Resident Tuition,,,5,,,,,,5,,
Status,Non-Resident Tuition,,,,,,,,,,,
,Tuition Exemption/Waiver,,,,,,,,,,,
Residency,Texas Resident,,,5,,,,,,5,,
Status,"Non-TX, US Resident",,,,,,,,,,,
,"Non-TX, Non-US Resident",,,,,,,,,,,
SCH,< 6 SCH,,,2,,,,,,2,,
Categories,6-8 SCH,,,2,,,,,,2,,
,9-11 SCH,,,,,,,,,,,
,12-14 SCH,,,1,,,,,,1,,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,2,,,,,,2,,
TAMU,Half-Time,,,2,,,,,,2,,
Status,Three-Quarter Time,,,,,,,,,,,
,Full-Time,,,1,,,,,,1,,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,,
