College Veterinary Medicine,,,,,,,,,,,,
Demographic Summary,,,,,,,,,,,,
Fall 1999,,,,,,,,,,,,
Fall 1999,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,2184,,51,,101,,499,,2835,,
Gender,Male,732,,23,,47,,165,,967,,
,Female,1452,,28,,54,,334,,1868,,
Ethnic,White,1735,,39,,56,,454,,2284,,
Origin,Black,77,,2,,,,,,79,,
,Hispanic,225,,2,,4,,21,,252,,
,Asian,98,,,,4,,18,,120,,
,American Indian,14,,,,,,4,,18,,
,International,4,,8,,37,,,,49,,
,Unknown/Other,31,,,,,,2,,33,,
TAMU Age,<18,6,,,,,,,,6,,
Categories,18-21,1796,,,,,,17,,1813,,
,22-25,350,,19,,6,,309,,684,,
,26-30,17,,21,,37,,116,,191,,
,31-39,8,,9,,42,,52,,111,,
,40+,7,,2,,16,,5,,30,,
Enrollment,1st Time in College,558,,,,,,,,558,,
Status,1st Time PB,8,,,,,,,,8,,
,1st Time Graduate,,,12,,8,,,,20,,
,1st Time Professional,,,,,,,131,,131,,
,1st Time Transfer,93,,1,,,,,,94,,
,Re-Admitted,17,,,,,,,,17,,
,Continuing,1508,,38,,93,,368,,2007,,
Tuition,Resident Tuition,2085,,33,,40,,471,,2629,,
Status,Non-Resident Tuition,29,,6,,15,,9,,59,,
,Tuition Exemption/Waiver,70,,12,,46,,19,,147,,
Residency,Texas Resident,2116,,34,,40,,476,,2666,,
Status,"Non-TX, US Resident",63,,9,,24,,23,,119,,
,"Non-TX, Non-US Resident",5,,8,,37,,,,50,,
SCH,< 6 SCH,15,,17,,20,,,,52,,
Categories,6-8 SCH,26,,5,,4,,,,35,,
,9-11 SCH,56,,26,,75,,,,157,,
,12-14 SCH,1432,,2,,2,,,,1436,,
,15-17 SCH,626,,1,,,,,,627,,
,>17 SCH,29,,,,,,499,,528,,
Ft/Pt:,Less Than Half Time,15,,10,,17,,,,42,,
TAMU,Half-Time,27,,12,,7,,,,46,,
Status,Three-Quarter Time,58,,,,,,,,58,,
,Full-Time,2084,,29,,77,,499,,2689,,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,,
