College Education,,,,,,,,,,,,
Demographic Summary,,,,,,,,,,,,
Fall 1999,,,,,,,,,,,,
Fall 1999,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,2824,,428,,595,,,,3847,,
Gender,Male,537,,131,,222,,,,890,,
,Female,2287,,297,,373,,,,2957,,
Ethnic,White,2480,,318,,426,,,,3224,,
Origin,Black,47,,28,,53,,,,128,,
,Hispanic,227,,41,,79,,,,347,,
,Asian,28,,8,,4,,,,40,,
,American Indian,15,,2,,4,,,,21,,
,International,4,,26,,24,,,,54,,
,Unknown/Other,23,,5,,5,,,,33,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,1670,,3,,,,,,1673,,
,22-25,1056,,139,,18,,,,1213,,
,26-30,63,,91,,112,,,,266,,
,31-39,27,,86,,154,,,,267,,
,40+,8,,109,,311,,,,428,,
Enrollment,1st Time in College,274,,,,,,,,274,,
Status,1st Time PB,7,,,,,,,,7,,
,1st Time Graduate,,,116,,64,,,,180,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,279,,1,,,,,,280,,
,Re-Admitted,39,,,,,,,,39,,
,Continuing,2225,,311,,531,,,,3067,,
Tuition,Resident Tuition,2745,,331,,489,,,,3565,,
Status,Non-Resident Tuition,45,,19,,30,,,,94,,
,Tuition Exemption/Waiver,34,,78,,76,,,,188,,
Residency,Texas Resident,2765,,350,,510,,,,3625,,
Status,"Non-TX, US Resident",54,,52,,61,,,,167,,
,"Non-TX, Non-US Resident",5,,26,,24,,,,55,,
SCH,< 6 SCH,28,,157,,287,,,,472,,
Categories,6-8 SCH,189,,97,,76,,,,362,,
,9-11 SCH,179,,109,,175,,,,463,,
,12-14 SCH,1460,,60,,51,,,,1571,,
,15-17 SCH,886,,3,,5,,,,894,,
,>17 SCH,82,,2,,1,,,,85,,
Ft/Pt:,Less Than Half Time,28,,150,,238,,,,416,,
TAMU,Half-Time,52,,104,,125,,,,281,,
Status,Three-Quarter Time,93,,,,,,,,93,,
,Full-Time,2651,,174,,232,,,,3057,,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,,
