College Architecture,,,,,,,,,,,,
Demographic Summary,,,,,,,,,,,,
Fall 1999,,,,,,,,,,,,
Fall 1999,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,1497,,249,,72,,,,1818,,
Gender,Male,1038,,159,,56,,,,1253,,
,Female,459,,90,,16,,,,565,,
Ethnic,White,1226,,149,,33,,,,1408,,
Origin,Black,17,,4,,4,,,,25,,
,Hispanic,172,,13,,2,,,,187,,
,Asian,26,,9,,2,,,,37,,
,American Indian,6,,,,,,,,6,,
,International,21,,70,,31,,,,122,,
,Unknown/Other,29,,4,,,,,,33,,
TAMU Age,<18,2,,,,,,,,2,,
Categories,18-21,938,,2,,,,,,940,,
,22-25,510,,109,,2,,,,621,,
,26-30,32,,88,,17,,,,137,,
,31-39,11,,35,,34,,,,80,,
,40+,4,,15,,19,,,,38,,
Enrollment,1st Time in College,191,,,,,,,,191,,
Status,1st Time PB,1,,,,,,,,1,,
,1st Time Graduate,,,98,,7,,,,105,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,67,,,,,,,,67,,
,Re-Admitted,14,,,,,,,,14,,
,Continuing,1224,,151,,65,,,,1440,,
Tuition,Resident Tuition,1406,,138,,29,,,,1573,,
Status,Non-Resident Tuition,49,,50,,24,,,,123,,
,Tuition Exemption/Waiver,42,,61,,19,,,,122,,
Residency,Texas Resident,1414,,140,,30,,,,1584,,
Status,"Non-TX, US Resident",59,,38,,11,,,,108,,
,"Non-TX, Non-US Resident",24,,71,,31,,,,126,,
SCH,< 6 SCH,23,,30,,30,,,,83,,
Categories,6-8 SCH,26,,10,,2,,,,38,,
,9-11 SCH,73,,102,,34,,,,209,,
,12-14 SCH,897,,89,,4,,,,990,,
,15-17 SCH,440,,18,,2,,,,460,,
,>17 SCH,38,,,,,,,,38,,
Ft/Pt:,Less Than Half Time,11,,26,,22,,,,59,,
TAMU,Half-Time,26,,13,,10,,,,49,,
Status,Three-Quarter Time,72,,,,,,,,72,,
,Full-Time,1388,,210,,40,,,,1638,,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,,
