College Geosciences,,,,,,,,,,,,
Demographic Summary,,,,,,,,,,,,
Fall 1999,,,,,,,,,,,,
Fall 1999,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,419,,192,,119,,,,730,,
Gender,Male,226,,120,,88,,,,434,,
,Female,193,,72,,31,,,,296,,
Ethnic,White,363,,134,,54,,,,551,,
Origin,Black,5,,1,,1,,,,7,,
,Hispanic,33,,5,,3,,,,41,,
,Asian,4,,4,,1,,,,9,,
,American Indian,5,,,,,,,,5,,
,International,5,,43,,60,,,,108,,
,Unknown/Other,4,,5,,,,,,9,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,264,,2,,,,,,266,,
,22-25,119,,90,,5,,,,214,,
,26-30,24,,66,,39,,,,129,,
,31-39,8,,31,,60,,,,99,,
,40+,4,,3,,15,,,,22,,
Enrollment,1st Time in College,65,,,,,,,,65,,
Status,1st Time PB,3,,,,,,,,3,,
,1st Time Graduate,,,50,,13,,,,63,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,44,,,,,,,,44,,
,Re-Admitted,11,,,,,,,,11,,
,Continuing,296,,142,,106,,,,544,,
Tuition,Resident Tuition,381,,52,,19,,,,452,,
Status,Non-Resident Tuition,13,,30,,31,,,,74,,
,Tuition Exemption/Waiver,25,,110,,69,,,,204,,
Residency,Texas Resident,392,,73,,23,,,,488,,
Status,"Non-TX, US Resident",21,,76,,36,,,,133,,
,"Non-TX, Non-US Resident",6,,43,,60,,,,109,,
SCH,< 6 SCH,6,,39,,38,,,,83,,
Categories,6-8 SCH,4,,2,,1,,,,7,,
,9-11 SCH,14,,118,,77,,,,209,,
,12-14 SCH,265,,26,,2,,,,293,,
,15-17 SCH,124,,1,,1,,,,126,,
,>17 SCH,6,,6,,,,,,12,,
Ft/Pt:,Less Than Half Time,4,,34,,37,,,,75,,
TAMU,Half-Time,4,,8,,2,,,,14,,
Status,Three-Quarter Time,14,,,,,,,,14,,
,Full-Time,397,,150,,80,,,,627,,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,,
