Demographic Summary Fall 2000,,,,,,,,,,,,
College Exchange,,,,,,,,,,,,
Fall 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,21,100.0%,,,,,,,21,100.0%,
Gender,Male,13,100.0%,,,,,,,13,100.0%,
,Female,8,100.0%,,,,,,,8,100.0%,
Ethnic,White,,,,,,,,,,,
Origin,Black,,,,,,,,,,,
,Hispanic,,,,,,,,,,,
,Asian,,,,,,,,,,,
,American Indian,,,,,,,,,,,
,International,21,100.0%,,,,,,,21,100.0%,
,Unknown/Other,,,,,,,,,,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,10,100.0%,,,,,,,10,100.0%,
,22-25,11,100.0%,,,,,,,11,100.0%,
,26-30,,,,,,,,,,,
,31-39,,,,,,,,,,,
,40+,,,,,,,,,,,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Re Admitted,,,,,,,,,,,
,Continuing,21,100.0%,,,,,,,21,100.0%,
Tuition,Resident Tuition,,,,,,,,,,,
Status,Non-Resident Tuition,21,100.0%,,,,,,,21,100.0%,
,Tuition Exemption/Waiver,,,,,,,,,,,
Residency,Texas Resident,,,,,,,,,,,
Status,"Non-TX, US Resident",,,,,,,,,,,
,"Non-TX, Non-US Resident",21,100.0%,,,,,,,21,100.0%,
SCH,< 6 SCH,,,,,,,,,,,
Categories,6-8 SCH,,,,,,,,,,,
,9-11 SCH,1,100.0%,,,,,,,1,100.0%,
,12-14 SCH,16,100.0%,,,,,,,16,100.0%,
,15-17 SCH,4,100.0%,,,,,,,4,100.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,,,,,,,,,
TAMU,Half-Time,,,,,,,,,,,
Status,,,,,,,,,,,,
,Three-Quarter Time,1,100.0%,,,,,,,1,100.0%,
,Full-Time,20,100.0%,,,,,,,20,100.0%,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,,
