Demographic Summary Fall 2000,,,,,,,,,,,,
College G. Bush School of Govt,,,,,,,,,,,,
Fall 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,52,23.8%,,,,,52,23.8%,
Gender,Male,,,29,45.0%,,,,,29,45.0%,
,Female,,,23,4.5%,,,,,23,4.5%,
Ethnic,White,,,43,48.3%,,,,,43,48.3%,
Origin,Black,,,2,-60.0%,,,,,2,-60.0%,
,Hispanic,,,3,-25.0%,,,,,3,-25.0%,
,Asian,,,2,0.0%,,,,,2,0.0%,
,American Indian,,,,,,,,,,,
,International,,,2,0.0%,,,,,2,0.0%,
,Unknown/Other,,,,,,,,,,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,,,,,,,,,
,22-25,,,38,11.8%,,,,,38,11.8%,
,26-30,,,10,42.9%,,,,,10,42.9%,
,31-39,,,2,100.0%,,,,,2,100.0%,
,40+,,,2,100.0%,,,,,2,100.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,22,0.0%,,,,,22,0.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Re Admitted,,,,,,,,,,,
,Continuing,,,30,50.0%,,,,,30,50.0%,
Tuition,Resident Tuition,,,28,33.3%,,,,,28,33.3%,
Status,Non-Resident Tuition,,,,,,,,,,,
,Tuition Exemption/Waiver,,,24,14.3%,,,,,24,14.3%,
Residency,Texas Resident,,,28,27.3%,,,,,28,27.3%,
Status,"Non-TX, US Resident",,,22,22.2%,,,,,22,22.2%,
,"Non-TX, Non-US Resident",,,2,0.0%,,,,,2,0.0%,
SCH,< 6 SCH,,,5,100.0%,,,,,5,100.0%,
Categories,6-8 SCH,,,1,100.0%,,,,,1,100.0%,
,9-11 SCH,,,2,100.0%,,,,,2,100.0%,
,12-14 SCH,,,44,7.3%,,,,,44,7.3%,
,15-17 SCH,,,0,-100.0%,,,,,0,-100.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,5,100.0%,,,,,5,100.0%,
"TAMU
Status",Half-Time,,,1,100.0%,,,,,1,100.0%,
,Three-Quarter Time,,,,,,,,,,,
,Full-Time,,,46,9.5%,,,,,46,9.5%,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,,
