Demographic Summary Fall 2000,,,,,,,,,,,,
College Agriculture,,,,,,,,,,,,
Fall 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,5083,1.5%,640,-1.7%,498,2.0%,,,6221,1.2%,
Gender,Male,2683,-0.6%,305,-8.4%,324,1.6%,,,3312,-1.2%,
,Female,2400,3.9%,335,5.3%,174,3.0%,,,2909,4.0%,
Ethnic,White,4364,2.2%,460,-2.7%,270,1.1%,,,5094,1.7%,
Origin,Black,110,-3.5%,5,400.0%,3,-25.0%,,,118,-0.8%,
,Hispanic,356,-2.5%,23,0.0%,19,11.8%,,,398,-1.7%,
,Asian,79,5.3%,14,16.7%,10,25.0%,,,103,8.4%,
,American Indian,23,-4.2%,1,0.0%,,,,,24,-4.0%,
,International,58,-6.5%,132,-3.6%,188,1.6%,,,378,-1.6%,
,Unknown/Other,93,-5.1%,5,25.0%,8,14.3%,,,106,-2.8%,
TAMU Age,<18,2,-66.7%,,,,,,,2,-66.7%,
Categories,18-21,3061,2.5%,6,-33.3%,,,,,3067,2.4%,
,22-25,1801,-0.3%,377,8.3%,35,-10.3%,,,2213,0.9%,
,26-30,138,6.2%,160,-16.2%,186,4.5%,,,484,-3.0%,
,31-39,56,-3.4%,68,-16.0%,190,-1.6%,,,314,-5.4%,
,40+,25,13.6%,29,31.8%,87,11.5%,,,141,15.6%,
Enrollment,1st Time in College,543,2.5%,,,,,,,543,2.5%,
Status,1st Time PB,10,-33.3%,,,,,,,10,-33.3%,
,1st Time Graduate,,,199,4.7%,72,9.1%,,,271,5.9%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,392,-7.1%,1,100.0%,,,,,393,-6.9%,
,Re Admitted,141,34.3%,,,,,,,141,34.3%,
,Continuing,3997,1.5%,440,-4.6%,426,0.9%,,,4863,0.9%,
Tuition,Resident Tuition,4831,3.4%,346,1.8%,178,22.8%,,,5355,3.8%,
Status,Non-Resident Tuition,127,-14.2%,77,10.0%,100,2.0%,,,304,-3.8%,
,Tuition Exemption/Waiver,125,-33.2%,217,-10.0%,220,-10.2%,,,562,-16.5%,
Residency,Texas Resident,4831,1.9%,346,-6.0%,180,4.0%,,,5357,1.4%,
Status,"Non-TX, US Resident",193,-6.8%,162,11.7%,127,-1.6%,,,482,0.2%,
,"Non-TX, Non-US Resident",59,-3.3%,132,-4.3%,191,2.7%,,,382,-0.8%,
SCH,< 6 SCH,84,-3.4%,123,4.2%,144,17.1%,,,351,7.0%,
Categories,6-8 SCH,160,9.6%,30,-6.3%,28,47.4%,,,218,10.7%,
,9-11 SCH,228,-5.4%,437,0.2%,307,-8.4%,,,972,-4.0%,
,12-14 SCH,3075,4.9%,44,-24.1%,17,88.9%,,,3136,4.6%,
,15-17 SCH,1400,-4.2%,5,-28.6%,1,-50.0%,,,1406,-4.4%,
,>17 SCH,136,-4.2%,1,100.0%,1,100.0%,,,138,-2.8%,
Ft/Pt:,Less Than Half Time,84,7.7%,107,8.1%,129,19.4%,,,320,12.3%,
"TAMU
Status",Half-Time,160,10.3%,46,-11.5%,43,30.3%,,,249,8.3%,
,Three-Quarter Time,228,-5.4%,,,,,,,228,-5.4%,
,Full-Time,4611,1.5%,487,-2.6%,326,-6.1%,,,5424,0.6%,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,,
