Demographic Summary by Entry Status,,,,,,,,,,,,
Fall 2000,,,,,,,,,,,,
"Fall 2000
Head Count      Total
Gender              Male Female
Ethnic               White
Origin                Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age      <18
Categories        18-21
22-25
26-30
31-39
40+
College             Agriculture Architecture Business Admin Education Engineering Geosciences
G. Bush School of Govt Liberal Arts
Science
Veterinary Medicine Distance Education General Studies Exchange
Student             Lower
Level                 Upper Masters PhD Professional
Tuition              Resident Tuition
Status                Non-Resident Tuition Tuition Exemption/Waiver
Residency         Texas Resident
Status                Non-TX, US Resident
Non-TX, Non-US Resident
SCH                  < 6 SCH
Categories        6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                 Less Than Half Time
TAMU              Half-Time
Status                Three-Quarter Time Full-Time",Undergraduate,,,,,Graduate,,,Professional,,,
,"1st Time in College
6685
3188
3497
5389
173
669
251
35
47
121
54
6620
9
1
1
543
159
886
304
1537
61
736
567
604
1288
6663
22
6331
154
200
6331
306
48
7
7
19
5913
736
3
7
7
19
6652","1st Time PB
22
10
12
16
2
3
1
10
7
4
1
10
4
1
1
6
22
20
2
20
2
2
8
1
6
5
2
8
1
11","1st Time Transfer
1902
982
920
1606
15
142
41
8
43
47
1
1539
256
61
35
10
392
67
70
305
364
35
366
155
76
72
1224
678
1776
88
38
1776
83
43
15
42
77
1498
266
4
15
42
77
1768","Re Admitted
548
309
239
432
19
67
17
4
4
5
178
276
64
26
4
141
14
43
36
82
5
127
19
14
67
155
393
532
12
4
536
8
4
20
46
44
328
94
16
20
46
44
438","Contin uing
27072
14113
12959
22081
680
2424
908
122
420
437
14
17568
8619
553
216
102
3997
1227
4499
2273
5749
329
4595
1145
1460
1777
21
8275
18797
25599
855
618
25603
1047
422
448
718
1301
15721
8328
556
448
718
1301
24605",1st Time Graduate,1st Time Transfer,Contin uing,1st Time Professional,Re Admitted,Contin uing,
,,,,,,2071,1,5219,128,1,377,
,,,,,,1322,1,3179,44,1,120,
,,,,,,749,,2040,84,,257,
,,,,,,962,,2733,111,1,342,
,,,,,,36,,140,,,,
,,,,,,86,,272,10,,14,
,,,,,,36,,107,2,,16,
,,,,,,4,,14,1,,3,
,,,,,,925,1,1898,,,,
,,,,,,22,,55,4,,2,
,,,,,,89,,8,19,,1,
,,,,,,1073,1,1306,79,,220,
,,,,,,520,,1749,15,,116,
,,,,,,264,,1344,12,,35,
,,,,,,125,,812,3,1,5,
,,,,,,271,1,866,,,,
,,,,,,135,,220,,,,
,,,,,,425,,352,,,,
,,,,,,207,,939,,,,
,,,,,,609,,1389,,,,
,,,,,,69,,246,,,,
,,,,,,22,,30,,,,
,,,,,,161,,566,,,,
,,,,,,146,,481,,,,
,,,,,,25,,128,128,1,377,
,,,,,,1,,2,,,,
,,,,,,1683,1,2667,,,,
,,,,,,388,,2552,,,,
,,,,,,,,,128,1,377,
,,,,,,823,,2327,125,1,356,
,,,,,,371,1,755,1,,6,
,,,,,,877,,2137,2,,15,
,,,,,,823,,2336,126,1,356,
,,,,,,323,,981,2,,21,
,,,,,,925,1,1902,,,,
,,,,,,95,,1440,,,,
,,,,,,100,,348,,,,
,,,,,,1160,,2960,,,,
,,,,,,569,1,389,,,,
,,,,,,143,,67,,,,
,,,,,,4,,15,128,1,377,
,,,,,,79,,1251,,,,
,,,,,,116,,537,,,,
,,,,,,1876,1,3431,128,1,377,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,,
