Demographic Summary Fall 2000,,,,,,,,,,,,
College Veterinary Medicine,,,,,,,,,,,,
Fall 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,2160,-1.1%,62,21.6%,91,-9.9%,506,1.4%,2819,-0.6%,
Gender,Male,737,0.7%,30,30.4%,43,-8.5%,165,0.0%,975,0.8%,
,Female,1423,-2.0%,32,14.3%,48,-11.1%,341,2.1%,1844,-1.3%,
Ethnic,White,1698,-2.1%,44,12.8%,52,-7.1%,454,0.0%,2248,-1.6%,
Origin,Black,63,-18.2%,1,-50.0%,2,100.0%,,,66,-16.5%,
,Hispanic,242,7.6%,7,250.0%,4,0.0%,24,14.3%,277,9.9%,
,Asian,102,4.1%,1,100.0%,3,-25.0%,18,0.0%,124,3.3%,
,American Indian,12,-14.3%,,,,,4,0.0%,16,-11.1%,
,International,6,50.0%,9,12.5%,29,-21.6%,,,44,-10.2%,
,Unknown/Other,37,19.4%,,,1,100.0%,6,200.0%,44,33.3%,
TAMU Age,<18,9,50.0%,,,,,,,9,50.0%,
Categories,18-21,1776,-1.1%,,,,,20,17.6%,1796,-0.9%,
,22-25,341,-2.6%,33,73.7%,5,-16.7%,299,-3.2%,678,-0.9%,
,26-30,24,41.2%,15,-28.6%,36,-2.7%,131,12.9%,206,7.9%,
,31-39,7,-12.5%,12,33.3%,35,-16.7%,47,-9.6%,101,-9.0%,
,40+,3,-57.1%,2,0.0%,15,-6.3%,9,80.0%,29,-3.3%,
Enrollment,1st Time in College,604,8.2%,,,,,,,604,8.2%,
Status,1st Time PB,6,-25.0%,,,,,,,6,-25.0%,
,1st Time Graduate,,,15,25.0%,10,25.0%,,,25,25.0%,
,1st Time Professional,,,,,,,128,-2.3%,128,-2.3%,
,1st Time Transfer,76,-18.3%,0,-100.0%,,,,,76,-19.1%,
,Re Admitted,14,-17.6%,,,,,1,100.0%,15,-11.8%,
,Continuing,1460,-3.2%,47,23.7%,81,-12.9%,377,2.4%,1965,-2.1%,
Tuition,Resident Tuition,2076,-0.4%,40,21.2%,37,-7.5%,482,2.3%,2635,0.2%,
Status,Non-Resident Tuition,45,55.2%,3,-50.0%,11,-26.7%,7,-22.2%,66,11.9%,
,Tuition Exemption/Waiver,39,-44.3%,19,58.3%,43,-6.5%,17,-10.5%,118,-19.7%,
Residency,Texas Resident,2076,-1.9%,40,17.6%,37,-7.5%,483,1.5%,2636,-1.1%,
Status,"Non-TX, US Resident",78,23.8%,13,44.4%,25,4.2%,23,0.0%,139,16.8%,
,"Non-TX, Non-US Resident",6,20.0%,9,12.5%,29,-21.6%,,,44,-12.0%,
SCH,< 6 SCH,14,-6.7%,31,82.4%,25,25.0%,,,70,34.6%,
Categories,6-8 SCH,22,-15.4%,8,60.0%,1,-75.0%,,,31,-11.4%,
,9-11 SCH,33,-41.1%,22,-15.4%,63,-16.0%,,,118,-24.8%,
,12-14 SCH,1448,1.1%,1,-50.0%,1,-50.0%,,,1450,1.0%,
,15-17 SCH,617,-1.4%,0,-100.0%,,,,,617,-1.6%,
,>17 SCH,26,-10.3%,,,1,100.0%,506,1.4%,533,0.9%,
Ft/Pt:,Less Than Half Time,14,-6.7%,24,140.0%,21,23.5%,,,59,40.5%,
"TAMU
Status",Half-Time,22,-18.5%,15,25.0%,5,-28.6%,,,42,-8.7%,
,Three-Quarter Time,33,-43.1%,,,,,,,33,-43.1%,
,Full-Time,2091,0.3%,23,-20.7%,65,-15.6%,506,1.4%,2685,-0.1%,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,,
