Demographic Summary Fall 2000,,,,,,,,,,,,
College Science,,,,,,,,,,,,
Fall 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,1887,-0.1%,288,-7.4%,339,3.4%,,,2514,-0.6%,
Gender,Male,758,-4.7%,182,-6.7%,236,2.6%,,,1176,-3.6%,
,Female,1129,3.2%,106,-8.6%,103,5.1%,,,1338,2.3%,
Ethnic,White,1434,-0.7%,135,-11.8%,128,-2.3%,,,1697,-1.8%,
Origin,Black,53,-3.6%,5,-37.5%,6,50.0%,,,64,-4.5%,
,Hispanic,224,0.0%,10,11.1%,5,-54.5%,,,239,-2.0%,
,Asian,121,6.1%,13,18.2%,6,20.0%,,,140,7.7%,
,American Indian,2,0.0%,,,2,100.0%,,,4,33.3%,
,International,9,-25.0%,121,-4.0%,191,9.8%,,,321,2.9%,
,Unknown/Other,44,15.8%,4,0.0%,1,-50.0%,,,49,11.4%,
TAMU Age,<18,9,350.0%,,,,,,,9,350.0%,
Categories,18-21,1519,2.2%,8,-11.1%,1,100.0%,,,1528,2.2%,
,22-25,328,-9.9%,153,-12.1%,59,13.5%,,,540,-8.5%,
,26-30,16,-42.9%,82,-3.5%,179,0.0%,,,277,-5.1%,
,31-39,8,33.3%,30,7.1%,88,3.5%,,,126,5.9%,
,40+,7,133.3%,15,0.0%,12,0.0%,,,34,13.3%,
Enrollment,1st Time in College,567,4.0%,,,,,,,567,4.0%,
Status,1st Time PB,1,-80.0%,,,,,,,1,-80.0%,
,1st Time Graduate,,,116,-8.7%,30,-25.0%,,,146,-12.6%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,155,9.9%,,,,,,,155,9.9%,
,Re Admitted,19,26.7%,,,,,,,19,26.7%,
,Continuing,1145,-3.2%,172,-6.5%,309,7.3%,,,1626,-1.8%,
Tuition,Resident Tuition,1758,1.9%,93,111.4%,53,112.0%,,,1904,6.1%,
Status,Non-Resident Tuition,52,-3.7%,19,216.7%,42,-8.7%,,,113,6.6%,
,Tuition Exemption/Waiver,77,-29.4%,176,-32.6%,244,-5.1%,,,497,-20.7%,
Residency,Texas Resident,1760,-0.9%,93,-5.1%,53,-3.6%,,,1906,-1.2%,
Status,"Non-TX, US Resident",116,16.0%,74,-14.9%,95,-4.0%,,,285,-0.3%,
,"Non-TX, Non-US Resident",11,-15.4%,121,-4.0%,191,9.8%,,,323,3.2%,
SCH,< 6 SCH,10,-28.6%,31,3.3%,32,-27.3%,,,73,-17.0%,
Categories,6-8 SCH,34,6.3%,6,20.0%,2,100.0%,,,42,10.5%,
,9-11 SCH,47,-6.0%,221,5.2%,294,9.7%,,,562,6.4%,
,12-14 SCH,1274,0.0%,29,-55.4%,8,-38.5%,,,1311,-3.0%,
,15-17 SCH,505,2.4%,0,-100.0%,3,200.0%,,,508,2.6%,
,>17 SCH,17,-34.6%,1,100.0%,0,-100.0%,,,18,-33.3%,
Ft/Pt:,Less Than Half Time,10,-28.6%,28,0.0%,29,-27.5%,,,67,-18.3%,
"TAMU
Status",Half-Time,34,0.0%,9,12.5%,5,0.0%,,,48,2.1%,
,Three-Quarter Time,47,-13.0%,,,,,,,47,-13.0%,
,Full-Time,1796,0.5%,251,-8.7%,305,7.8%,,,2352,0.3%,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,,
