Fall 2000,,Undergraduate,,,,,Masters,,,PhD,,Pr,ofessional,,Total,
,,1st Time in College,1st Time PB,1st Time Transfer,Re Admitted,Contin uing,1st Time Graduate,1st Time Transfer,Contin uing,1st Time Graduate,Contin uing,1st Time Professional,Re Admitted,Contin uing,,
Agriculture,"ADEV AGBL AGBU AGEC AGED AGEN AGJR AGLS AGRO AGSC AGSM ANBR ANSC BESC BICH BSEN DASC ENTO FLOR FORS FSTC GENE HORT MEPS NRDV NUSC NUTR PLBR PLPA POSC PPHY PREP PSSC RENR RLEM RPTS RRDV SOSC TOXI WFSC
WISC","31
74
8
24
3
4
4
21
8
115
11
59
2
3
1
7
6
45
7
45
11
1
1
4
7
41","1
1
1
1
1
1
2
1
1","57
31
7
30
6
9
18
8
14
15
34
6
19
1
2
12
4
13
16
16
12
2
8
15
37","22
1
4
1
4
30
4
8
4
9
2
1
2
2
1
3
3
6
3
6
15
10","527
118
220
254
92
61
185
100
83
125
555
138
148
24
13
44
2
25
70
172
103
191
96
6
19
70
254
302","5
22
17
15
2
2
1
18
19
3
1
11
5
9
1
1
19
3
2
3
2
8
12
2
15
1",1,"4
23
20
20
28
10
1
38
23
17
3
22
8
17
4
4
40
10
13
7
14
21
12
16
64
1","8
27
2
2
5
1
1
3
3
4
4
1
1
1
1
2
1
4
1","35
21
15
13
1
15
53
26
10
14
24
8
7
13
9
17
8
3
11
21
16
2
17
1
63
3",,,,"646
223
274
376
83
168
77
237
143
119
159
1
782
164
328
29
16
96
2
62
131
274
162
12
5
255
76
26
33
145
4
28
7
25
140
332
2
35
1
537
6",
,Sub-Total,543,10,392,141,3997,199,1,440,72,426,,,,6221,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
