Demographic Summary Fall 2000,,,,,,,,,,,,
College Business Admin,,,,,,,,,,,,
Fall 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,5498,-12.0%,698,11.3%,79,-8.1%,,,6275,-9.8%,
Gender,Male,2641,-15.5%,442,16.0%,49,-10.9%,,,3132,-12.0%,
,Female,2857,-8.5%,256,4.1%,30,-3.2%,,,3143,-7.6%,
Ethnic,White,4669,-11.0%,483,9.0%,39,-7.1%,,,5191,-9.4%,
Origin,Black,100,-25.4%,13,225.0%,4,-42.9%,,,117,-19.3%,
,Hispanic,394,-21.5%,37,0.0%,5,0.0%,,,436,-19.9%,
,Asian,156,-11.4%,14,-12.5%,1,0.0%,,,171,-11.4%,
,American Indian,24,4.3%,2,0.0%,2,0.0%,,,28,3.7%,
,International,70,-24.7%,142,19.3%,27,-3.6%,,,239,-0.4%,
,Unknown/Other,85,14.9%,7,16.7%,1,0.0%,,,93,14.8%,
TAMU Age,<18,5,0.0%,,,,,,,5,0.0%,
Categories,18-21,4072,-10.8%,9,-40.0%,,,,,4081,-10.9%,
,22-25,1321,-14.5%,342,1.5%,3,-25.0%,,,1666,-11.7%,
,26-30,56,-29.1%,181,7.7%,23,-8.0%,,,260,-4.4%,
,31-39,27,-25.0%,110,46.7%,33,3.1%,,,170,18.9%,
,40+,17,-10.5%,56,75.0%,20,-20.0%,,,93,22.4%,
Enrollment,1st Time in College,886,1.6%,,,,,,,886,1.6%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,417,5.0%,8,-50.0%,,,425,2.9%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,70,-47.0%,,,,,,,70,-47.0%,
,Re Admitted,43,-24.6%,,,,,,,43,-24.6%,
,Continuing,4499,-13.2%,281,22.2%,71,1.4%,,,4851,-11.6%,
Tuition,Resident Tuition,5267,-11.2%,471,12.1%,30,0.0%,,,5768,-9.6%,
Status,Non-Resident Tuition,142,-21.1%,61,52.5%,16,33.3%,,,219,-5.6%,
,Tuition Exemption/Waiver,89,-35.5%,166,-0.6%,33,-25.0%,,,288,-17.5%,
Residency,Texas Resident,5267,-12.0%,471,7.5%,32,-5.9%,,,5770,-10.7%,
Status,"Non-TX, US Resident",161,-3.0%,85,25.0%,20,-16.7%,,,266,3.1%,
,"Non-TX, Non-US Resident",70,-25.5%,142,17.4%,27,-3.6%,,,239,-1.6%,
SCH,< 6 SCH,46,-8.0%,14,0.0%,27,42.1%,,,87,4.8%,
Categories,6-8 SCH,93,-11.4%,19,-9.5%,,,,,112,-11.1%,
,9-11 SCH,225,3.7%,154,15.8%,44,-6.4%,,,423,6.5%,
,12-14 SCH,3517,-10.4%,371,27.1%,8,-60.0%,,,3896,-8.0%,
,15-17 SCH,1564,-16.2%,134,-13.5%,,,,,1698,-16.0%,
,>17 SCH,53,-36.1%,6,-50.0%,,,,,59,-37.9%,
Ft/Pt:,Less Than Half Time,46,70.4%,13,-7.1%,25,92.3%,,,84,55.6%,
"TAMU
Status",Half-Time,93,-10.6%,20,-4.8%,2,-66.7%,,,115,-12.2%,
,Three-Quarter Time,225,2.3%,,,,,,,225,2.3%,
,Full-Time,5134,-12.9%,665,12.3%,52,-22.4%,,,5851,-10.7%,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,,
