Demographic Summary Fall 2000,,,,,,,,,,,,
College Distance Education,,,,,,,,,,,,
Fall 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,3,-40.0%,,,,,3,-40.0%,
Gender,Male,,,2,-60.0%,,,,,2,-60.0%,
,Female,,,1,100.0%,,,,,1,100.0%,
Ethnic,White,,,2,-60.0%,,,,,2,-60.0%,
Origin,Black,,,,,,,,,,,
,Hispanic,,,,,,,,,,,
,Asian,,,,,,,,,,,
,American Indian,,,,,,,,,,,
,International,,,,,,,,,,,
,Unknown/Other,,,1,100.0%,,,,,1,100.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,,,,,,,,,
,22-25,,,2,100.0%,,,,,2,100.0%,
,26-30,,,1,0.0%,,,,,1,0.0%,
,31-39,,,0,-100.0%,,,,,0,-100.0%,
,40+,,,0,-100.0%,,,,,0,-100.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,1,-50.0%,,,,,1,-50.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Re Admitted,,,,,,,,,,,
,Continuing,,,2,-33.3%,,,,,2,-33.3%,
Tuition,Resident Tuition,,,2,-60.0%,,,,,2,-60.0%,
Status,Non-Resident Tuition,,,,,,,,,,,
,Tuition Exemption/Waiver,,,1,100.0%,,,,,1,100.0%,
Residency,Texas Resident,,,2,-60.0%,,,,,2,-60.0%,
Status,"Non-TX, US Resident",,,1,100.0%,,,,,1,100.0%,
,"Non-TX, Non-US Resident",,,,,,,,,,,
SCH,< 6 SCH,,,1,-50.0%,,,,,1,-50.0%,
Categories,6-8 SCH,,,1,-50.0%,,,,,1,-50.0%,
,9-11 SCH,,,,,,,,,,,
,12-14 SCH,,,1,0.0%,,,,,1,0.0%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,1,-50.0%,,,,,1,-50.0%,
"TAMU
Status",Half-Time,,,1,-50.0%,,,,,1,-50.0%,
,Three-Quarter Time,,,,,,,,,,,
,Full-Time,,,1,0.0%,,,,,1,0.0%,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,,
