Demographic Summary Fall 2000,,,,,,,,,,,,
University Total,,,,,,,,,,,,
Fall 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,36229,0.4%,4351,8.4%,2940,3.0%,506,1.4%,44026,1.3%,
Gender,Male,18602,-1.5%,2604,8.0%,1898,3.7%,165,0.0%,23269,-0.1%,
,Female,17627,2.5%,1747,9.1%,1042,2.0%,341,2.1%,20757,3.0%,
Ethnic,White,29524,0.6%,2303,0.3%,1392,-2.7%,454,0.0%,33673,0.5%,
Origin,Black,889,-7.2%,73,2.8%,103,10.8%,,,1065,-5.1%,
,Hispanic,3302,-2.8%,213,10.9%,145,-3.3%,24,14.3%,3684,-2.0%,
,Asian,1220,2.2%,92,-2.1%,51,0.0%,18,0.0%,1381,1.8%,
,American Indian,169,0.0%,9,28.6%,9,28.6%,4,0.0%,191,2.1%,
,International,514,-0.6%,1614,23.8%,1210,10.1%,,,3338,14.3%,
,Unknown/Other,611,20.8%,47,-2.1%,30,36.4%,6,200.0%,694,20.1%,
TAMU Age,<18,69,-1.4%,,,,,,,69,-1.4%,
Categories,18-21,25905,1.9%,96,12.9%,1,100.0%,20,17.6%,26022,1.9%,
,22-25,9170,-2.4%,2178,10.8%,202,7.4%,299,-3.2%,11849,-0.1%,
,26-30,686,-10.0%,1201,2.4%,1068,3.6%,131,12.9%,3086,0.1%,
,31-39,282,-5.7%,557,4.1%,1051,1.5%,47,-9.6%,1937,0.8%,
,40+,117,-4.1%,319,25.6%,618,3.2%,9,80.0%,1063,8.5%,
Enrollment,1st Time in College,6685,-0.1%,,,,,,,6685,-0.1%,
Status,1st Time PB,22,-63.3%,,,,,,,22,-63.3%,
,1st Time Graduate,,,1683,6.0%,388,11.5%,,,2071,7.0%,
,1st Time Professional,,,,,,,128,-2.3%,128,-2.3%,
,1st Time Transfer,1902,-9.8%,1,-66.7%,,,,,1903,-9.9%,
,Re Admitted,548,7.5%,,,,,1,100.0%,549,7.6%,
,Continuing,27072,1.4%,2667,10.1%,2552,1.9%,377,2.4%,32668,2.1%,
Tuition,Resident Tuition,34258,1.9%,2000,11.8%,1150,10.6%,482,2.3%,37890,2.7%,
Status,Non-Resident Tuition,1111,-3.5%,651,22.8%,476,0.6%,7,-22.2%,2245,3.8%,
,Tuition Exemption/Waiver,860,-34.7%,1700,0.4%,1314,-1.9%,17,-10.5%,3891,-11.0%,
Residency,Texas Resident,34266,0.3%,2001,1.5%,1158,-0.3%,483,1.5%,37908,0.4%,
Status,"Non-TX, US Resident",1446,4.1%,735,0.5%,569,-4.0%,23,0.0%,2773,1.4%,
,"Non-TX, Non-US Resident",517,-3.7%,1615,23.3%,1213,10.4%,,,3345,13.5%,
SCH,< 6 SCH,492,-3.5%,666,2.1%,869,2.0%,,,2027,0.6%,
Categories,6-8 SCH,821,3.0%,288,14.3%,160,22.1%,,,1269,7.5%,
,9-11 SCH,1442,0.3%,2362,10.9%,1758,3.5%,,,5562,5.6%,
,12-14 SCH,23466,3.2%,826,8.7%,133,-11.9%,,,24425,3.2%,
,15-17 SCH,9429,-5.1%,195,-2.5%,15,-11.8%,,,9639,-5.1%,
,>17 SCH,579,-10.6%,14,-30.0%,5,66.7%,506,1.4%,1104,-5.6%,
Ft/Pt:,Less Than Half Time,492,78.3%,576,-2.4%,754,3.6%,,,1822,14.3%,
"TAMU
Status",Half-Time,821,24.6%,378,19.6%,275,8.3%,,,1474,19.9%,
,Three-Quarter Time,1442,4.6%,0,-100.0%,,,,,1442,4.5%,
,Full-Time,33474,-0.9%,3397,9.4%,1911,2.1%,506,1.4%,39288,0.1%,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,,
