Demographic Summary Fall 2000,,,,,,,,,,,,
College Engineering,,,,,,,,,,,,
Fall 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,7732,-4.3%,1267,15.7%,731,3.8%,,,9730,-1.5%,
Gender,Male,6171,-4.8%,1008,16.7%,634,3.8%,,,7813,-1.8%,
,Female,1561,-2.6%,259,12.1%,97,4.3%,,,1917,-0.5%,
Ethnic,White,5787,-5.2%,255,-17.5%,139,-16.3%,,,6181,-6.0%,
Origin,Black,227,-9.2%,8,-11.1%,9,0.0%,,,244,-9.0%,
,Hispanic,786,-4.3%,29,-3.3%,9,-30.8%,,,824,-4.6%,
,Asian,495,-1.4%,23,-4.2%,16,-11.1%,,,534,-1.8%,
,American Indian,37,-15.9%,,,,,,,37,-15.9%,
,International,266,3.1%,950,32.3%,556,11.9%,,,1772,20.3%,
,Unknown/Other,134,30.1%,2,-60.0%,2,100.0%,,,138,26.6%,
TAMU Age,<18,18,-35.7%,,,,,,,18,-35.7%,
Categories,18-21,5329,-3.8%,60,33.3%,,,,,5389,-3.5%,
,22-25,2086,-3.8%,696,22.1%,53,26.2%,,,2835,1.9%,
,26-30,202,-15.1%,363,10.0%,338,7.0%,,,903,2.1%,
,31-39,75,-15.7%,124,-3.1%,292,-3.0%,,,491,-5.2%,
,40+,22,10.0%,24,9.1%,48,6.7%,,,94,8.0%,
Enrollment,1st Time in College,1537,-11.0%,,,,,,,1537,-11.0%,
Status,1st Time PB,0,-100.0%,,,,,,,0,-100.0%,
,1st Time Graduate,,,486,5.9%,123,25.5%,,,609,9.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,364,-22.2%,,,,,,,364,-22.2%,
,Re Admitted,82,2.5%,,,,,,,82,2.5%,
,Continuing,5749,-0.8%,781,22.8%,608,0.3%,,,7138,1.4%,
Tuition,Resident Tuition,7051,-2.0%,225,-8.5%,101,-9.8%,,,7377,-2.3%,
Status,Non-Resident Tuition,383,-3.5%,318,24.7%,152,-5.0%,,,853,5.0%,
,Tuition Exemption/Waiver,298,-39.3%,724,21.9%,478,10.6%,,,1500,-1.1%,
Residency,Texas Resident,7055,-4.4%,226,-15.7%,102,-19.7%,,,7383,-5.1%,
Status,"Non-TX, US Resident",411,-4.9%,90,-15.9%,73,-9.9%,,,574,-7.4%,
,"Non-TX, Non-US Resident",266,-0.7%,951,32.1%,556,12.1%,,,1773,19.5%,
SCH,< 6 SCH,208,-2.8%,132,-21.9%,124,-19.0%,,,464,-13.4%,
Categories,6-8 SCH,135,-2.9%,43,-18.9%,13,0.0%,,,191,-6.8%,
,9-11 SCH,295,-5.1%,974,28.5%,566,15.3%,,,1835,17.6%,
,12-14 SCH,5218,-1.6%,98,-3.9%,25,-39.0%,,,5341,-1.9%,
,15-17 SCH,1811,-10.6%,19,46.2%,1,-80.0%,,,1831,-10.4%,
,>17 SCH,65,-28.6%,1,100.0%,2,100.0%,,,68,-26.1%,
Ft/Pt:,Less Than Half Time,208,530.3%,115,-27.7%,113,-20.4%,,,436,30.5%,
"TAMU
Status",Half-Time,135,-2.9%,60,-4.8%,24,-4.0%,,,219,-3.5%,
,Three-Quarter Time,295,-6.9%,,,,,,,295,-6.9%,
,Full-Time,7094,-6.6%,1092,25.1%,594,10.6%,,,8780,-2.5%,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,,
