Demographic Summary Fall 2000,,,,,,,,,,,,
College Liberal Arts,,,,,,,,,,,,
Fall 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,5824,10.1%,354,-2.2%,373,3.6%,,,6551,8.9%,
Gender,Male,2167,10.0%,170,-6.1%,224,10.3%,,,2561,8.8%,
,Female,3657,10.1%,184,1.7%,149,-5.1%,,,3990,9.0%,
Ethnic,White,4768,11.4%,241,-1.6%,248,-3.1%,,,5257,10.0%,
Origin,Black,156,-2.5%,8,-11.1%,5,-54.5%,,,169,-6.1%,
,Hispanic,603,-0.3%,23,-17.9%,18,12.5%,,,644,-0.8%,
,Asian,126,28.6%,7,-12.5%,7,-12.5%,,,140,22.8%,
,American Indian,32,33.3%,1,-50.0%,1,100.0%,,,34,30.8%,
,International,35,-16.7%,61,10.9%,87,38.1%,,,183,14.4%,
,Unknown/Other,104,25.3%,13,-13.3%,7,16.7%,,,124,19.2%,
TAMU Age,<18,7,-22.2%,,,,,,,7,-22.2%,
Categories,18-21,3991,10.5%,7,100.0%,,,,,3998,10.7%,
,22-25,1619,12.5%,154,6.2%,24,20.0%,,,1797,12.0%,
,26-30,125,-13.2%,100,-20.0%,131,2.3%,,,356,-10.3%,
,31-39,58,5.5%,61,1.7%,142,6.0%,,,261,4.8%,
,40+,24,-27.3%,32,0.0%,76,-2.6%,,,132,-7.7%,
Enrollment,1st Time in College,736,6.4%,,,,,,,736,6.4%,
Status,1st Time PB,0,-100.0%,,,,,,,0,-100.0%,
,1st Time Graduate,,,115,0.0%,46,27.8%,,,161,6.6%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,366,-10.9%,0,-100.0%,,,,,366,-11.2%,
,Re Admitted,127,18.7%,,,,,,,127,18.7%,
,Continuing,4595,12.8%,239,-2.8%,327,0.9%,,,5161,11.1%,
Tuition,Resident Tuition,5561,11.7%,167,5.0%,164,8.6%,,,5892,11.4%,
Status,Non-Resident Tuition,141,-4.1%,53,-1.9%,70,22.8%,,,264,2.3%,
,Tuition Exemption/Waiver,122,-27.4%,134,-10.1%,139,-8.6%,,,395,-15.8%,
Residency,Texas Resident,5561,10.1%,167,-5.1%,165,-2.4%,,,5893,9.3%,
Status,"Non-TX, US Resident",228,15.2%,126,-3.8%,121,-5.5%,,,475,3.9%,
,"Non-TX, Non-US Resident",35,-22.2%,61,10.9%,87,38.1%,,,183,12.3%,
SCH,< 6 SCH,69,13.1%,67,-11.8%,154,11.6%,,,290,5.5%,
Categories,6-8 SCH,131,20.2%,35,40.0%,11,-26.7%,,,177,18.8%,
,9-11 SCH,270,5.1%,210,-11.4%,185,-6.1%,,,665,-3.8%,
,12-14 SCH,3466,12.2%,40,66.7%,23,155.6%,,,3529,13.0%,
,15-17 SCH,1747,7.3%,2,100.0%,0,-100.0%,,,1749,7.4%,
,>17 SCH,141,-4.1%,,,,,,,141,-4.1%,
Ft/Pt:,Less Than Half Time,69,27.8%,58,-14.7%,126,13.5%,,,253,8.6%,
"TAMU
Status",Half-Time,131,23.6%,44,33.3%,39,-4.9%,,,214,18.9%,
,Three-Quarter Time,270,1.5%,0,-100.0%,,,,,270,1.1%,
,Full-Time,5354,10.0%,252,-3.1%,208,0.0%,,,5814,9.0%,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,,
