Demographic Summary Fall 2000,,,,,,,,,,,,
College Education,,,,,,,,,,,,
Fall 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,2922,3.5%,509,18.9%,637,7.1%,,,4068,5.7%,
Gender,Male,530,-1.3%,134,2.3%,240,8.1%,,,904,1.6%,
,Female,2392,4.6%,375,26.3%,397,6.4%,,,3164,7.0%,
Ethnic,White,2607,5.1%,372,17.0%,434,1.9%,,,3413,5.9%,
Origin,Black,40,-14.9%,28,0.0%,71,34.0%,,,139,8.6%,
,Hispanic,202,-11.0%,62,51.2%,82,3.8%,,,346,-0.3%,
,Asian,19,-32.1%,6,-25.0%,5,25.0%,,,30,-25.0%,
,American Indian,13,-13.3%,3,50.0%,4,0.0%,,,20,-4.8%,
,International,5,25.0%,31,19.2%,32,33.3%,,,68,25.9%,
,Unknown/Other,36,56.5%,7,40.0%,9,80.0%,,,52,57.6%,
TAMU Age,<18,3,100.0%,,,,,,,3,100.0%,
Categories,18-21,1858,11.3%,1,-66.7%,,,,,1859,11.1%,
,22-25,962,-8.9%,161,15.8%,17,-5.6%,,,1140,-6.0%,
,26-30,63,0.0%,119,30.8%,114,1.8%,,,296,11.3%,
,31-39,25,-7.4%,87,1.2%,188,22.1%,,,300,12.4%,
,40+,11,37.5%,141,29.4%,318,2.3%,,,470,9.8%,
Enrollment,1st Time in College,304,10.9%,,,,,,,304,10.9%,
Status,1st Time PB,4,-42.9%,,,,,,,4,-42.9%,
,1st Time Graduate,,,134,15.5%,73,14.1%,,,207,15.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,305,9.3%,0,-100.0%,,,,,305,8.9%,
,Re Admitted,36,-7.7%,,,,,,,36,-7.7%,
,Continuing,2273,2.2%,375,20.6%,564,6.2%,,,3212,4.7%,
Tuition,Resident Tuition,2846,3.7%,428,29.3%,540,10.4%,,,3814,7.0%,
Status,Non-Resident Tuition,48,6.7%,32,68.4%,35,16.7%,,,115,22.3%,
,Tuition Exemption/Waiver,28,-17.6%,49,-37.2%,62,-18.4%,,,139,-26.1%,
Residency,Texas Resident,2847,3.0%,428,22.3%,541,6.1%,,,3816,5.3%,
Status,"Non-TX, US Resident",70,29.6%,50,-3.8%,64,4.9%,,,184,10.2%,
,"Non-TX, Non-US Resident",5,0.0%,31,19.2%,32,33.3%,,,68,23.6%,
SCH,< 6 SCH,25,-10.7%,184,17.2%,303,5.6%,,,512,8.5%,
Categories,6-8 SCH,178,-5.8%,134,38.1%,102,34.2%,,,414,14.4%,
,9-11 SCH,216,20.7%,121,11.0%,177,1.1%,,,514,11.0%,
,12-14 SCH,1602,9.7%,69,15.0%,47,-7.8%,,,1718,9.4%,
,15-17 SCH,806,-9.0%,1,-66.7%,8,60.0%,,,815,-8.8%,
,>17 SCH,95,15.9%,0,-100.0%,0,-100.0%,,,95,11.8%,
Ft/Pt:,Less Than Half Time,25,-10.7%,157,4.7%,257,8.0%,,,439,5.5%,
"TAMU
Status",Half-Time,178,242.3%,161,54.8%,148,18.4%,,,487,73.3%,
,Three-Quarter Time,216,132.3%,,,,,,,216,132.3%,
,Full-Time,2503,-5.6%,191,9.8%,232,0.0%,,,2926,-4.3%,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,,
