Graduate Students,,,,,,,
Fall 2000,,,,,,,
Fall 2000,,G6: Non-Degreed PB,"G7:
Masters","G8:
Doctoral",G9: Probationary GR,"GRAND
Total",
Head Count,Total,321,3989,2940,41,7291,
Gender,Male,134,2443,1898,27,4502,
,Female,187,1546,1042,14,2789,
Ethnic Origin,White,190,2096,1392,17,3695,
,Black,17,56,103,,176,
,Hispanic,34,175,145,4,358,
,Asian,6,86,51,,143,
,American Indian,1,8,9,,18,
,International,64,1530,1210,20,2824,
,Unknown/Other,9,38,30,,77,
TAMU Age,18-21,1,95,1,,97,
Categories,22-25,70,2090,202,18,2380,
,26-30,68,1119,1068,14,2269,
,31-39,76,472,1051,9,1608,
,40+,106,213,618,,937,
College,Agriculture,17,622,498,1,1138,
,Architecture,5,273,77,,355,
,Business Admin,6,691,79,1,777,
,Education,159,347,637,3,1146,
,Engineering,47,1202,731,18,1998,
,Geosciences,14,182,115,4,315,
,G. Bush School of Govt,7,45,,,52,
,Liberal Arts,24,328,373,2,727,
,Science,26,250,339,12,627,
,Veterinary Medicine,15,47,91,,153,
,Distance Education,1,2,,,3,
Enrollment,1st Time Graduate,,1664,388,19,2071,
Status,1st Time Transfer,1,,,,1,
,Continuing,320,2325,2552,22,5219,
Tuition Status,Resident Tuition,224,1764,1150,12,3150,
,Non-Resident  Tuition,38,611,476,2,1127,
,Tuition  Exemption/Waiver,59,1614,1314,27,3014,
Residency,Texas Resident,224,1765,1158,12,3159,
Status,"Non-TX, US Resident",33,693,569,9,1304,
,"Non-TX, Non-US Resident",64,1531,1213,20,2828,
SCH,< 6 SCH,161,505,869,,1535,
Categories,6-8 SCH,85,202,160,1,448,
,9-11 SCH,54,2280,1758,28,4120,
,12-14 SCH,11,805,133,10,959,
,15-17 SCH,3,190,15,2,210,
,>17 SCH,7,7,5,,19,
Ft/Pt: TAMU,Less Than Half Time,147,429,754,,1330,
Status,Half-Time,99,278,275,1,653,
,Full-Time,75,3282,1911,40,5308,
"Prepared by OISP, 01 Nov 00",,,,,,,
