Demographic Summary Fall 2000,,,,,,,,,,,,
College Architecture,,,,,,,,,,,,
Fall 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,1467,-2.0%,278,11.6%,77,6.9%,,,1822,0.2%,
Gender,Male,1004,-3.3%,176,10.7%,61,8.9%,,,1241,-1.0%,
,Female,463,0.9%,102,13.3%,16,0.0%,,,581,2.8%,
Ethnic,White,1221,-0.4%,136,-8.7%,28,-15.2%,,,1385,-1.6%,
Origin,Black,19,11.8%,3,-25.0%,2,-50.0%,,,24,-4.0%,
,Hispanic,148,-14.0%,14,7.7%,2,0.0%,,,164,-12.3%,
,Asian,25,-3.8%,9,0.0%,2,0.0%,,,36,-2.7%,
,American Indian,5,-16.7%,1,100.0%,,,,,6,0.0%,
,International,18,-14.3%,113,61.4%,42,35.5%,,,173,41.8%,
,Unknown/Other,31,6.9%,2,-50.0%,1,100.0%,,,34,3.0%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,927,-1.2%,3,50.0%,,,,,930,-1.1%,
,22-25,495,-2.9%,129,18.3%,4,100.0%,,,628,1.1%,
,26-30,30,-6.3%,100,13.6%,17,0.0%,,,147,7.3%,
,31-39,12,9.1%,34,-2.9%,34,0.0%,,,80,0.0%,
,40+,3,-25.0%,12,-20.0%,22,15.8%,,,37,-2.6%,
Enrollment,1st Time in College,159,-16.8%,,,,,,,159,-16.8%,
Status,1st Time PB,0,-100.0%,,,,,,,0,-100.0%,
,1st Time Graduate,,,121,23.5%,14,100.0%,,,135,28.6%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,67,0.0%,,,,,,,67,0.0%,
,Re Admitted,14,0.0%,,,,,,,14,0.0%,
,Continuing,1227,0.2%,157,4.0%,63,-3.1%,,,1447,0.5%,
Tuition,Resident Tuition,1399,-0.5%,132,-4.3%,27,-6.9%,,,1558,-1.0%,
Status,Non-Resident Tuition,38,-22.4%,58,16.0%,21,-12.5%,,,117,-4.9%,
,Tuition Exemption/Waiver,30,-28.6%,88,44.3%,29,52.6%,,,147,20.5%,
Residency,Texas Resident,1399,-1.1%,132,-5.7%,27,-10.0%,,,1558,-1.6%,
Status,"Non-TX, US Resident",50,-15.3%,33,-13.2%,8,-27.3%,,,91,-15.7%,
,"Non-TX, Non-US Resident",18,-25.0%,113,59.2%,42,35.5%,,,173,37.3%,
SCH,< 6 SCH,18,-21.7%,40,33.3%,28,-6.7%,,,86,3.6%,
Categories,6-8 SCH,38,46.2%,11,10.0%,2,0.0%,,,51,34.2%,
,9-11 SCH,59,-19.2%,95,-6.9%,40,17.6%,,,194,-7.2%,
,12-14 SCH,935,4.2%,101,13.5%,4,0.0%,,,1040,5.1%,
,15-17 SCH,388,-11.8%,31,72.2%,2,0.0%,,,421,-8.5%,
,>17 SCH,29,-23.7%,,,1,100.0%,,,30,-21.1%,
Ft/Pt:,Less Than Half Time,18,63.6%,35,34.6%,25,13.6%,,,78,32.2%,
"TAMU
Status",Half-Time,38,46.2%,16,23.1%,5,-50.0%,,,59,20.4%,
,Three-Quarter Time,59,-18.1%,,,,,,,59,-18.1%,
,Full-Time,1352,-2.6%,227,8.1%,47,17.5%,,,1626,-0.7%,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,,
