Demographic Summary Fall 2000,,,,,,,,,,,,
College General Studies,,,,,,,,,,,,
Fall 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,3204,21.6%,,,,,,,3204,21.6%,
Gender,Male,1656,29.4%,,,,,,,1656,29.4%,
,Female,1548,14.2%,,,,,,,1548,14.2%,
Ethnic,White,2602,18.9%,,,,,,,2602,18.9%,
Origin,Black,118,19.2%,,,,,,,118,19.2%,
,Hispanic,313,39.7%,,,,,,,313,39.7%,
,Asian,93,27.4%,,,,,,,93,27.4%,
,American Indian,18,50.0%,,,,,,,18,50.0%,
,International,20,25.0%,,,,,,,20,25.0%,
,Unknown/Other,40,73.9%,,,,,,,40,73.9%,
TAMU Age,<18,16,33.3%,,,,,,,16,33.3%,
Categories,18-21,3106,20.8%,,,,,,,3106,20.8%,
,22-25,68,61.9%,,,,,,,68,61.9%,
,26-30,9,28.6%,,,,,,,9,28.6%,
,31-39,4,300.0%,,,,,,,4,300.0%,
,40+,1,-50.0%,,,,,,,1,-50.0%,
Enrollment,1st Time in College,1288,3.7%,,,,,,,1288,3.7%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,72,41.2%,,,,,,,72,41.2%,
,Re Admitted,67,3.1%,,,,,,,67,3.1%,
,Continuing,1777,39.2%,,,,,,,1777,39.2%,
Tuition,Resident Tuition,3073,23.3%,,,,,,,3073,23.3%,
Status,Non-Resident Tuition,94,5.6%,,,,,,,94,5.6%,
,Tuition Exemption/Waiver,37,-31.5%,,,,,,,37,-31.5%,
Residency,Texas Resident,3074,21.5%,,,,,,,3074,21.5%,
Status,"Non-TX, US Resident",110,23.6%,,,,,,,110,23.6%,
,"Non-TX, Non-US Resident",20,25.0%,,,,,,,20,25.0%,
SCH,< 6 SCH,16,33.3%,,,,,,,16,33.3%,
Categories,6-8 SCH,27,28.6%,,,,,,,27,28.6%,
,9-11 SCH,50,28.2%,,,,,,,50,28.2%,
,12-14 SCH,2641,21.6%,,,,,,,2641,21.6%,
,15-17 SCH,462,19.4%,,,,,,,462,19.4%,
,>17 SCH,8,100.0%,,,,,,,8,100.0%,
Ft/Pt:,Less Than Half Time,16,33.3%,,,,,,,16,33.3%,
"TAMU
Status",Half-Time,27,22.7%,,,,,,,27,22.7%,
,Three-Quarter Time,50,13.6%,,,,,,,50,13.6%,
,Full-Time,3111,21.7%,,,,,,,3111,21.7%,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,,
