Fall 2000,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,19,100.0%,1,-50.0%,2,100.0%,3,-25.0%,2,-50.0%,11,100.0%,1,100.0%,31,100.0%,
,ESCI,14,-6.7%,,,,,,,,,,,,,16,0.0%,
,GEOG,160,-4.2%,,,15,-11.8%,,,,,4,-20.0%,0,-100.0%,185,-7.5%,
,GEOL,140,4.5%,1,0.0%,12,-7.7%,3,0.0%,1,100.0%,33,43.5%,4,0.0%,194,9.0%,
,GEOP,25,-10.7%,1,0.0%,1,0.0%,,,1,100.0%,34,13.3%,1,0.0%,63,3.3%,
,GEOS,1,0.0%,,,,,,,,,,,,,1,0.0%,
,METR,153,-5.6%,1,-66.7%,8,33.3%,1,0.0%,0,-100.0%,10,-44.4%,4,100.0%,177,-7.3%,
,OCNG,48,9.1%,,,2,-33.3%,1,0.0%,,,25,-21.9%,3,0.0%,79,-4.8%,
,SubTotal,560,1.6%,4,-42.9%,40,-2.4%,8,-11.1%,4,-20.0%,117,8.3%,13,44.4%,746,2.2%,
G. Bush School,BUSH,43,48.3%,2,-60.0%,3,-25.0%,2,0.0%,,,2,0.0%,,,52,23.8%,
of Govt,SubTotal,43,48.3%,2,-60.0%,3,-25.0%,2,0.0%,,,2,0.0%,,,52,23.8%,
Liberal Arts,ANTH,183,-2.7%,,,17,30.8%,5,0.0%,,,12,20.0%,7,40.0%,224,1.4%,
,ANTL,1,100.0%,,,,,,,,,,,0,-100.0%,1,0.0%,
,ECOL,0,-100.0%,,,,,,,,,1,0.0%,,,1,-85.7%,
,ECON,387,40.2%,8,-50.0%,44,-10.2%,16,23.1%,4,33.3%,83,5.1%,8,33.3%,550,24.4%,
,ENGL,598,0.2%,9,0.0%,53,-19.7%,6,-14.3%,1,0.0%,21,10.5%,10,0.0%,698,-1.6%,
,ENLL,1,-83.3%,0,-100.0%,,,,,,,,,,,1,-85.7%,
,FREN,12,20.0%,1,0.0%,1,100.0%,,,,,,,,,14,27.3%,
,GERM,6,-14.3%,,,,,1,100.0%,1,100.0%,0,-100.0%,1,0.0%,9,0.0%,
,HISL,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,HIST,466,14.2%,11,120.0%,56,5.7%,8,33.3%,4,100.0%,,,16,6.7%,561,14.7%,
,INTL,1,-75.0%,,,,,,,,,,,,,1,-75.0%,
,INTS,175,15.1%,8,14.3%,45,2.3%,11,10.0%,0,-100.0%,3,0.0%,3,50.0%,245,11.9%,
,JOUL,4,-77.8%,,,1,-75.0%,,,,,,,1,100.0%,6,-72.7%,
,JOUR,692,22.3%,27,-10.0%,64,4.9%,14,-12.5%,4,0.0%,1,-50.0%,11,120.0%,813,18.9%,
,MODL,6,-62.5%,0,-100.0%,3,-75.0%,,,,,3,200.0%,,,12,-60.0%,
,MOLL,1,-92.3%,,,1,-50.0%,,,,,,,,,2,-86.7%,
,PHIL,71,-5.3%,,,4,-33.3%,4,0.0%,,,2,-60.0%,5,66.7%,86,-7.5%,
,PHLL,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,POLL,1,-95.0%,,,1,-50.0%,,,,,,,0,-100.0%,2,-91.3%,
,POLS,662,4.3%,22,0.0%,81,-3.6%,9,-10.0%,4,33.3%,14,27.3%,11,0.0%,803,3.5%,
,PSYC,1097,10.6%,50,8.7%,157,8.3%,43,65.4%,9,80.0%,10,100.0%,27,8.0%,1393,12.0%,
,PSYL,3,-81.3%,,,3,0.0%,0,-100.0%,,,,,0,-100.0%,6,-71.4%,
,RUSS,6,-14.3%,,,,,,,,,,,1,0.0%,7,-12.5%,
,SCOL,3,-50.0%,,,1,100.0%,,,,,,,,,4,-33.3%,
,SCOM,562,20.9%,18,5.9%,47,20.5%,10,66.7%,4,0.0%,3,50.0%,17,88.9%,661,22.0%,
,SOCI,219,8.4%,13,-43.5%,30,-11.8%,10,25.0%,1,0.0%,24,41.2%,4,0.0%,301,4.2%,
,SOCL,2,0.0%,,,,,,,,,,,,,2,0.0%,
,SPAN,47,46.9%,,,22,4.8%,1,100.0%,1,100.0%,1,0.0%,1,0.0%,73,32.7%,
,STJR,10,-16.7%,,,2,100.0%,1,0.0%,1,0.0%,5,150.0%,1,-66.7%,20,5.3%,
,THAL,0,-100.0%,,,0,-100.0%,,,,,,,,,0,-100.0%,
,THAR,41,-2.4%,2,0.0%,11,10.0%,1,0.0%,0,-100.0%,0,-100.0%,,,55,-3.5%,
,SubTotal,5257,10.0%,169,-6.1%,644,-0.8%,140,22.8%,34,30.8%,183,14.4%,124,19.2%,6551,8.9%,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,,,,,,,,
