"Spring 2010
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal
Other - Special        CHEN
Populations             CLMD ECEN GACD MARA MARB MARS MEEN PETE SABX SRPH
Subtotal
University               Total",Undergraduate,,,,Masters,,,,PhD,,,Professional,Total,
,"1st Time in College
1
1
1
1
1
4
1
1
2
4
2
17
2
3
1
1
7
10
10
9
9
90","1st Time Transfer
2
2
3
4
11
4
14
27
31
21
2
3
21
3
20
1
37
7
191
22
2
6
30
1
1
80
80
797","Readmit ted
4
2
6
2
2
10
5
6
9
7
1
7
2
51
6
3
1
10
1
1
39
39
253","Continuing
121
100
170
199
590
144
601
892
388
609
40
88
642
77
734
83
1,135
347
5,780
1,460
221
15
296
115
2,107
1,529
1,529
4,231
4,231
1
3
1
1
1
3
48
58
35,247",1st Time PB,1st Time Graduate,Readmit ted,Continuing,1st Time Graduate,Readmit ted,Continuing,Continuing,,
,,,,,1,2,1,25,2,1,22,507,175,
,,,,,,,,,,,,,102,
,,,,,,4,,44,,,33,,260,
,,,,,2,9,,71,1,,35,,324,
,,,,,1,6,,33,2,,42,,84,
,,,,,4,21,1,173,5,1,132,,945,
,,,,,2,1,,54,,,53,,261,
,,,,,,,,,,,,,618,
,,,,,,,1,14,,1,43,,988,
,,,,,,,,75,,,45,,545,
,,,,,,,,27,,,76,,743,
,,,,,,,,,,,,,42,
,,,,,,,,13,1,,22,,128,
,,,,,,,,23,1,,50,,747,
,,,,,,,,19,1,,7,,107,
,,,,,,,,16,,,32,,811,
,,,,,,,,,,,,,85,
,,,,,,,,27,,,63,,"1,273",
,,,,,1,,,35,,,68,,462,
,,,,,3,1,1,303,3,1,459,,"6,810",
,,,,,,1,1,25,,,77,,"1,594",
,,,,,,6,,146,2,,121,,504,
,,,,,,,,,,,,,15,
,,,,,3,2,,54,,,69,,432,
,,,,,,2,,50,2,,97,,267,
,,,,,8,8,1,89,3,,55,,164,
,,,,,11,19,2,364,7,,419,,"2,976",
,,,,,,4,,11,,,1,,"2,064",
,,,,,,1,,31,1,,22,,55,
,,,,,,,,3,,,,,3,
,,,,,,,,2,,,6,,8,
,,,,,1,,,16,,,27,,44,
,,,,,,1,,12,2,,14,,29,
,,,,,1,6,,75,3,,70,507,"2,203",
,,,,,,,,,,,,,"4,359",
,,,,,,,,,,,,,"4,359",
,,,,,,,,,,,,,1,
,,,,,,,,10,,,,,10,
,,,,,,,,,,,,,3,
,,,,,,,,,,,,,1,
,,,,,,,,,,,,,1,
,,,,,,,,2,,,1,,3,
,,,,,,,,2,,,,,2,
,,,,,,,,,,,,,1,
,,,,,,,,,,,,,3,
,,,,,,,,10,,,,,58,
,,,,,11,,,9,,,,,20,
,,,,,11,,,33,,,1,,103,
,,,,,107,425,13,"4,833",97,5,"3,486",507,"45,860",
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,
