"Spring 2010
Headcount Total
TAMU Age                     18-21
Categories                       22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
PB
Tuition Status                  Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status             Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                    Yes
First Generation              No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,Black,,,,,Hispanic,,,,Asian,,,American Indian,,,International,,,Unknown/Other,,,Grand Total,,,,,
,F,M,Tot,F,,M,,Tot,F,,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,,Tot,,
,230,323,553,,5,,6,11,,46,49,95,18,24,42,1,4,5,9,14,23,27,41,68,336,,461,,797,
,170,192,362,,1,,4,5,,26,27,53,15,12,27,,2,2,3,3,6,18,22,40,233,,262,,495,
,48,95,143,,2,,1,3,,14,14,28,1,10,11,1,2,3,5,9,14,3,14,17,74,,145,,219,
,10,22,32,,2,,1,3,,4,5,9,1,2,3,,,,,2,2,4,3,7,21,,35,,56,
,2,11,13,,,,,,,1,2,3,1,,1,,,,1,,1,1,2,3,6,,15,,21,
,,3,3,,,,,,,1,1,2,,,,,,,,,,1,,1,2,,4,,6,
,6,13,19,,1,,,1,,2,,2,,1,1,,1,1,,2,2,,1,1,9,,18,,27,
,144,185,329,,1,,4,5,,21,30,51,12,16,28,,2,2,7,7,14,17,25,42,202,,269,,471,
,66,114,180,,3,,2,5,,18,16,34,6,6,12,1,1,2,2,4,6,9,13,22,105,,156,,261,
,13,8,21,,,,,,,5,2,7,,1,1,,,,,1,1,1,1,2,19,,13,,32,
,1,3,4,,,,,,,,1,1,,,,,,,,,,,1,1,1,,5,,6,
,219,314,533,,5,,6,11,,46,45,91,16,23,39,1,4,5,,2,2,25,37,62,312,,431,,743,
,7,2,9,,,,,,,,1,1,,1,1,,,,4,10,14,1,2,3,12,,16,,28,
,4,7,11,,,,,,,,3,3,2,,2,,,,5,2,7,1,2,3,12,,14,,26,
,220,320,540,,5,,6,11,,46,49,95,16,23,39,1,4,5,,,,26,41,67,314,,443,,757,
,10,3,13,,,,,,,,,,2,1,3,,,,,1,1,1,,1,13,,5,,18,
,,,,,,,,,,,,,,,,,,,9,13,22,,,,9,,13,,22,
,2,2,4,,,,,,,,,,1,1,2,,,,,,,1,1,2,4,,4,,8,
,8,10,18,,,,,,,,,,2,,2,,,,,1,1,,2,2,10,,13,,23,
,15,10,25,,,,1,1,,1,4,5,,2,2,1,,1,,,,2,4,6,19,,21,,40,
,132,228,360,,3,,5,8,,30,38,68,11,12,23,,3,3,5,10,15,17,27,44,198,,323,,521,
,73,73,146,,2,,,2,,15,7,22,4,9,13,,1,1,4,2,6,7,7,14,105,,99,,204,
,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,1,
,2,2,4,,,,,,,,,,1,1,2,,,,,,,1,1,2,4,,4,,8,
,8,10,18,,,,,,,,,,2,,2,,,,,1,1,,2,2,10,,13,,23,
,15,10,25,,,,1,1,,1,4,5,,2,2,1,,1,,,,2,4,6,19,,21,,40,
,205,301,506,,5,,5,10,,45,45,90,15,21,36,,4,4,9,13,22,24,34,58,303,,423,,726,
,209,303,512,,5,,6,11,,37,47,84,15,23,38,1,4,5,9,14,23,27,39,66,303,,436,,739,
,21,20,41,,,,,,,9,2,11,3,1,4,,,,,,,,2,2,33,,25,,58,
,142,207,349,,3,,5,8,,25,20,45,10,13,23,,4,4,,,,12,16,28,192,,265,,457,
,,4,4,,,,,,,,,,,1,1,,,,9,12,21,1,,1,10,,17,,27,
,88,112,200,,2,,1,3,,21,29,50,8,10,18,1,,1,,2,2,14,25,39,134,,179,,313,
,221,292,513,,5,,1,6,,34,34,68,12,18,30,1,4,5,9,9,18,22,35,57,304,,393,,697,
,9,31,40,,,,5,5,,12,15,27,6,6,12,,,,,5,5,5,6,11,32,,68,,100,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
