Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Afghanistan,1,,,,1,
Albania,,,1,,1,
Angola,11,,,,11,
Antigua and Barbuda,,,1,,1,
Argentina,,3,,,3,
Armenia,,2,1,,3,
Australia,5,1,,,6,
Austria,2,1,2,,5,
Azerbaijan,1,2,,,3,
"Bahamas, The",2,,1,,3,
Bahrain,4,1,2,,7,
Bangladesh,1,12,6,,19,
Barbados,,1,1,,2,
Belarus,2,,1,,3,
Belgium,1,1,1,,3,
Belize (British Honduras),1,1,,,2,
Bhutan,,1,,,1,
Bolivia,6,2,2,,10,
Botswana,,,1,,1,
Brazil,6,11,17,,34,
Bulgaria,1,1,1,,3,
Burma (Myanmar),1,,,,1,
Cambodia (Kampuchea),,,1,,1,
Cameroon,5,3,4,,12,
Canada,25,11,16,,52,
Cayman Islands,,1,,,1,
Chile,,3,8,,11,
"China, People's Rep of",46,437,420,,903,
Colombia,4,24,28,,56,
Costa Rica,4,2,,,6,
Cote d'Ivoire (Ivory Coast),3,1,,,4,
Croatia,1,,,,1,
Cyprus,1,1,,,2,
Czech Republic,,1,,,1,
Denmark,,1,,,1,
Dominica,,,1,,1,
Dominican Republic,,,1,,1,
Ecuador,4,10,6,,20,
Egypt (A.R.E.),,5,21,,26,
El Salvador,10,1,2,,13,
England,3,,,,3,
Equatorial Guinea,8,1,,,9,
Ethiopia,1,1,3,,5,
