Spring 2010,,"G6: PB
Non-Degree","G7:
Masters","G8:
Doctoral","G9: GR
Conditional",Grand Total,
Head Count,Total,285,"5,013","3,588",80,"8,966",
Gender,Female,136,"2,027","1,476",34,"3,673",
,Male,149,"2,986","2,112",46,"5,293",
Ethnicity,White,176,"2,475","1,350",22,"4,023",
,Black,23,135,206,2,366,
,Hispanic,20,368,277,10,675,
,Asian,17,152,98,3,270,
,American Indian,1,19,15,,35,
,International,34,"1,804","1,603",41,"3,482",
,Unknown/Other,14,60,39,2,115,
TAMU Age,18-21,1,7,,,8,
Categories,22-25,83,"2,564",211,18,"2,876",
,26-30,86,"1,690","1,475",32,"3,283",
,31-39,52,552,"1,338",23,"1,965",
,40+,63,200,564,7,834,
College,Agriculture,23,690,537,19,"1,269",
,Architecture,6,368,90,1,465,
,Business Admin,,690,63,,753,
,Education,40,549,738,6,"1,333",
,Engineering,11,"1,613","1,059",17,"2,700",
,G. Bush School of Govt,115,201,,,316,
,Geosciences,6,188,138,5,337,
,Liberal Arts,13,290,463,5,771,
,Science,30,339,426,27,822,
,Veterinary Medicine,1,81,73,,155,
,Other - Special Populations,40,4,1,,45,
Enrollment,1st Time PB,104,2,,1,107,
Status,1st Time Graduate,,417,97,8,522,
,Readmitted,1,12,5,,18,
,Continuing,180,"4,582","3,486",71,"8,319",
Tuition Status,Resident Tuition,220,"2,472","1,343",25,"4,060",
,Non-Resident Tuition,29,650,306,19,"1,004",
,Tuition Exemption/Waiver,36,"1,891","1,939",36,"3,902",
Residency,Texas Resident,244,"2,520","1,404",28,"4,196",
Status,"Non-TX, US Resident",7,685,573,11,"1,276",
,"Non-TX, Non-US Resident",34,"1,808","1,611",41,"3,494",
SCH,< 6 SCH,135,581,682,4,"1,402",
Categories,6-8 SCH,95,600,196,13,904,
,9-11 SCH,35,"3,041","2,626",59,"5,761",
,12-14 SCH,16,627,67,3,713,
,15-17 SCH,3,94,15,1,113,
,>17 SCH,1,70,2,,73,
Ft/Pt: TAMU,Less Than Half Time,122,379,522,4,"1,027",
Status,Half-Time,108,671,321,13,"1,113",
,Full-Time,55,"3,963","2,745",63,"6,826",
"Prepared by OISP, 05 May 10",,,,,,,
