"Spring 2010
Headcount Total
TAMU Age                     18-21
Categories                       22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
PB
Tuition Status                  Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status             Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                    Yes
First Generation              No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,,,Black,,,Hispanic,,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,,
,F,,M,,Tot,F,M,Tot,F,,M,,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,,M,,Tot,,
,,28,,28,56,,,,,5,,4,9,,4,,1,5,,1,1,,,,3,6,,9,,40,,40,,80,
,,27,,22,49,,,,,5,,3,8,,4,,1,5,,1,1,,,,3,5,,8,,39,,32,,71,
,,1,,5,6,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,6,,7,
,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,2,
,,1,,2,3,,,,,1,,,1,,,,,,,,,,,,,,,,,2,,2,,4,
,,26,,25,51,,,,,4,,3,7,,4,,1,5,,1,1,,,,3,6,,9,,37,,36,,73,
,,1,,1,2,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,2,,3,
,,25,,26,51,,,,,5,,4,9,,4,,1,5,,1,1,,,,3,5,,8,,37,,37,,74,
,,2,,1,3,,,,,,,,,,,,,,,,,,,,,1,,1,,2,,2,,4,
,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,
,,25,,26,51,,,,,5,,4,9,,4,,1,5,,1,1,,,,3,6,,9,,37,,38,,75,
,,3,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,5,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,1,,,1,,,,,,,,,,1,,,1,,,,,,,,1,,1,,2,,1,,3,
,,3,,,3,,,,,,,1,1,,,,,,,,,,,,,,,,,3,,1,,4,
,,15,,21,36,,,,,4,,3,7,,3,,,3,,1,1,,,,2,4,,6,,24,,29,,53,
,,9,,6,15,,,,,1,,,1,,,,1,1,,,,,,,1,1,,2,,11,,8,,19,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,1,,,1,,,,,,,,,,1,,,1,,,,,,,,1,,1,,2,,1,,3,
,,3,,,3,,,,,,,1,1,,,,,,,,,,,,,,,,,3,,1,,4,
,,24,,27,51,,,,,5,,3,8,,3,,1,4,,1,1,,,,3,5,,8,,35,,37,,72,
,,24,,24,48,,,,,4,,4,8,,4,,1,5,,1,1,,,,3,6,,9,,35,,36,,71,
,,4,,4,8,,,,,1,,,1,,,,,,,,,,,,,,,,,5,,4,,9,
,,18,,21,39,,,,,3,,2,5,,2,,,2,,1,1,,,,1,3,,4,,24,,27,,51,
,,10,,7,17,,,,,2,,2,4,,2,,1,3,,,,,,,2,3,,5,,16,,13,,29,
,,27,,25,52,,,,,3,,2,5,,3,,,3,,1,1,,,,1,5,,6,,34,,33,,67,
,,1,,3,4,,,,,2,,2,4,,1,,1,2,,,,,,,2,1,,3,,6,,7,,13,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
