"Spring 2010
Headcount Total
TAMU Age                     18-21
Categories                       22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
PB
Tuition Status                  Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status             Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                    Yes
First Generation              No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,,,Black,,,,Hispanic,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,Grand Total,,,,,,
,F,,M,,Tot,F,,M,Tot,F,,M,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,,M,,Tot,,
,,66,,70,136,,1,,1,,13,11,24,,4,,5,9,,2,2,3,1,4,8,7,15,,95,,96,,191,
,,45,,35,80,,1,,1,,7,6,13,,4,,2,6,,,,,,,7,6,13,,64,,49,,113,
,,15,,23,38,,,,,,4,4,8,,,,3,3,,2,2,3,1,4,,,,,22,,33,,55,
,,5,,5,10,,,,,,1,1,2,,,,,,,,,,,,1,1,2,,7,,7,,14,
,,1,,5,6,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,6,
,,,,2,2,,,,,,1,,1,,,,,,,,,,,,,,,,1,,2,,3,
,,2,,3,5,,1,,1,,,,,,,,1,1,,,,,,,,1,1,,3,,5,,8,
,,46,,38,84,,,,,,7,10,17,,3,,3,6,,1,1,3,,3,6,3,9,,65,,55,,120,
,,15,,27,42,,,,,,6,1,7,,1,,1,2,,1,1,,1,1,2,3,5,,24,,34,,58,
,,2,,1,3,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,3,
,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,
,,65,,69,134,,1,,1,,13,10,23,,4,,4,8,,2,2,,,,8,6,14,,91,,91,,182,
,,1,,,1,,,,,,,,,,,,1,1,,,,2,,2,,,,,3,,1,,4,
,,,,1,1,,,,,,,1,1,,,,,,,,,1,1,2,,1,1,,1,,4,,5,
,,65,,70,135,,1,,1,,13,11,24,,4,,4,8,,2,2,,,,8,7,15,,91,,94,,185,
,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,1,,1,,2,
,,,,,,,,,,,,,,,,,,,,,,3,1,4,,,,,3,,1,,4,
,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,
,,3,,2,5,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,5,
,,4,,2,6,,,,,,,1,1,,,,,,,,,,,,1,,1,,5,,3,,8,
,,41,,46,87,,1,,1,,10,7,17,,3,,3,6,,1,1,2,1,3,6,4,10,,63,,62,,125,
,,17,,19,36,,,,,,3,3,6,,1,,2,3,,1,1,1,,1,1,3,4,,23,,28,,51,
,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,
,,3,,2,5,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,5,
,,4,,2,6,,,,,,,1,1,,,,,,,,,,,,1,,1,,5,,3,,8,
,,58,,65,123,,1,,1,,13,10,23,,4,,5,9,,2,2,3,1,4,7,7,14,,86,,90,,176,
,,64,,68,132,,1,,1,,11,11,22,,3,,5,8,,2,2,3,1,4,8,6,14,,90,,93,,183,
,,2,,2,4,,,,,,2,,2,,1,,,1,,,,,,,,1,1,,5,,3,,8,
,,48,,45,93,,1,,1,,5,4,9,,4,,3,7,,2,2,,,,3,1,4,,61,,55,,116,
,,,,,,,,,,,,,,,,,,,,,,3,1,4,,,,,3,,1,,4,
,,18,,25,43,,,,,,8,7,15,,,,2,2,,,,,,,5,6,11,,31,,40,,71,
,,64,,61,125,,1,,1,,9,8,17,,2,,4,6,,2,2,3,1,4,7,4,11,,86,,80,,166,
,,2,,9,11,,,,,,4,3,7,,2,,1,3,,,,,,,1,3,4,,9,,16,,25,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
