"Spring 2010
Headcount Total
TAMU Age                     18-21
Categories                       22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
PB
Tuition Status                  Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status             Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                    Yes
First Generation              No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,,,Black,,,,Hispanic,,,,,Asian,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,,
,F,,M,,Tot,F,,M,Tot,F,,M,,Tot,F,,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,,M,,Tot,,
,,42,,9,51,,1,,1,,8,,2,10,,4,,4,,,,,1,1,3,4,,7,,58,,16,,74,
,,30,,8,38,,,,,,5,,1,6,,3,,3,,,,,,,1,2,,3,,39,,11,,50,
,,11,,1,12,,,,,,2,,1,3,,,,,,,,,1,1,,2,,2,,13,,5,,18,
,,,,,,,1,,1,,1,,,1,,1,,1,,,,,,,1,,,1,,4,,,,4,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,1,
,,1,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,1,,2,
,,21,,5,26,,,,,,3,,2,5,,4,,4,,,,,,,1,1,,2,,29,,8,,37,
,,18,,3,21,,1,,1,,3,,,3,,,,,,,,,,,2,3,,5,,24,,6,,30,
,,2,,1,3,,,,,,2,,,2,,,,,,,,,,,,,,,,4,,1,,5,
,,42,,9,51,,1,,1,,8,,2,10,,4,,4,,,,,,,3,4,,7,,58,,15,,73,
,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,1,
,,42,,9,51,,1,,1,,8,,2,10,,4,,4,,,,,,,3,4,,7,,58,,15,,73,
,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,1,
,,1,,1,2,,,,,,,,,,,1,,1,,,,,,,,,,,,2,,1,,3,
,,3,,,3,,,,,,,,1,1,,,,,,,,,,,1,,,1,,4,,1,,5,
,,22,,6,28,,,,,,4,,1,5,,2,,2,,,,,1,1,1,2,,3,,29,,10,,39,
,,16,,2,18,,1,,1,,4,,,4,,1,,1,,,,,,,,2,,2,,22,,4,,26,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,1,
,,1,,1,2,,,,,,,,,,,1,,1,,,,,,,,,,,,2,,1,,3,
,,3,,,3,,,,,,,,1,1,,,,,,,,,,,1,,,1,,4,,1,,5,
,,38,,8,46,,1,,1,,8,,1,9,,3,,3,,,,,1,1,1,4,,5,,51,,14,,65,
,,41,,9,50,,1,,1,,7,,2,9,,3,,3,,,,,1,1,3,3,,6,,55,,15,,70,
,,1,,,1,,,,,,1,,,1,,1,,1,,,,,,,,1,,1,,3,,1,,4,
,,18,,5,23,,,,,,6,,2,8,,1,,1,,,,,,,3,2,,5,,28,,9,,37,
,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,1,
,,24,,4,28,,1,,1,,2,,,2,,3,,3,,,,,,,,2,,2,,30,,6,,36,
,,41,,8,49,,1,,1,,8,,2,10,,3,,3,,,,,,,3,3,,6,,56,,13,,69,
,,1,,1,2,,,,,,,,,,,1,,1,,,,,1,1,,1,,1,,2,,3,,5,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
