"Spring 2010
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine         VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,232,0.9%,19,35.7%,28,12.0%,8,60.0%,,0,-100.0%,19,-17.4%,,10,100.0%,316,4.3%,
,232,0.9%,19,35.7%,28,12.0%,8,60.0%,,0,-100.0%,19,-17.4%,,10,100.0%,316,4.3%,
,122,3.4%,4,300.0%,20,-13.0%,,,,2,100.0%,25,4.2%,,2,-33.3%,175,2.9%,
,78,39.3%,,,17,41.7%,4,0.0%,,1,100.0%,1,0.0%,,1,100.0%,102,39.7%,
,191,8.5%,7,75.0%,24,33.3%,8,14.3%,,0,-100.0%,28,-6.7%,,2,100.0%,260,9.7%,
,219,7.4%,6,50.0%,24,33.3%,8,166.7%,,1,-50.0%,65,12.1%,,1,100.0%,324,12.1%,
,47,4.4%,,,2,-33.3%,3,200.0%,,,,32,28.0%,,,,84,13.5%,
,657,9.7%,17,88.9%,87,17.6%,23,53.3%,,4,0.0%,151,9.4%,,6,50.0%,945,12.1%,
,213,22.4%,2,0.0%,23,15.0%,8,14.3%,,0,-100.0%,12,0.0%,,3,-25.0%,261,18.1%,
,430,12.9%,19,26.7%,124,13.8%,26,85.7%,,7,16.7%,7,16.7%,,5,66.7%,618,15.7%,
,789,-8.6%,41,41.4%,111,0.9%,21,50.0%,,7,-22.2%,15,0.0%,,4,-20.0%,988,-5.5%,
,339,12.3%,6,50.0%,49,28.9%,36,-7.7%,,1,0.0%,110,10.0%,,4,300.0%,545,12.4%,
,562,1.6%,19,-29.6%,99,20.7%,25,13.6%,,7,40.0%,30,7.1%,,1,100.0%,743,3.6%,
,30,3.4%,1,100.0%,5,0.0%,3,50.0%,,1,0.0%,1,0.0%,,1,0.0%,42,7.7%,
,69,-2.8%,1,-50.0%,52,-11.9%,0,-100.0%,,,,6,0.0%,,,,128,-7.9%,
,616,1.0%,21,90.9%,86,-3.4%,8,0.0%,,6,50.0%,4,33.3%,,6,50.0%,747,2.5%,
,81,-15.6%,3,200.0%,15,7.1%,3,200.0%,,1,0.0%,1,100.0%,,3,-25.0%,107,-8.5%,
,600,-7.0%,45,-4.3%,110,-18.5%,32,10.3%,,8,60.0%,10,-9.1%,,6,20.0%,811,-7.5%,
,52,-8.8%,5,25.0%,24,26.3%,3,200.0%,,,,1,100.0%,,,,85,4.9%,
,886,1.8%,57,0.0%,227,8.6%,69,25.5%,,11,37.5%,12,50.0%,,11,57.1%,"1,273",4.9%,
,260,-0.8%,56,21.7%,103,14.4%,22,29.4%,,5,0.0%,12,-7.7%,,4,-20.0%,462,5.5%,
,"4,927",0.3%,276,12.7%,"1,028",5.0%,256,21.9%,,54,14.9%,221,8.9%,,48,23.1%,"6,810",2.6%,
,939,1.0%,52,4.0%,298,20.6%,240,13.2%,,10,11.1%,50,4.2%,,5,150.0%,"1,594",6.4%,
,265,5.2%,17,30.8%,46,2.2%,30,0.0%,,4,33.3%,141,24.8%,,1,-66.7%,504,9.8%,
,13,333.3%,1,-50.0%,1,100.0%,,,,,,,,,,,15,200.0%,
,266,2.3%,10,66.7%,56,19.1%,24,50.0%,,1,0.0%,70,-4.1%,,5,100.0%,432,7.2%,
,131,7.4%,4,0.0%,30,15.4%,16,6.7%,,3,0.0%,81,11.0%,,2,100.0%,267,9.4%,
,72,7.5%,2,0.0%,4,-20.0%,11,120.0%,,,,70,16.7%,,5,100.0%,164,18.0%,
,"1,686",3.2%,86,11.7%,435,17.6%,321,15.5%,,18,12.5%,412,12.3%,,18,200.0%,"2,976",8.3%,
,"1,494",-2.4%,45,4.7%,342,8.9%,158,6.0%,,10,25.0%,6,-25.0%,,9,28.6%,"2,064",0.2%,
,27,22.7%,1,0.0%,2,100.0%,1,0.0%,,,,23,15.0%,,1,0.0%,55,22.2%,
,3,-25.0%,,,,,,,,,,,,,,,3,-25.0%,
,1,0.0%,,,1,0.0%,,,,,,6,0.0%,,,,8,0.0%,
,25,4.2%,2,0.0%,4,33.3%,1,-50.0%,,,,12,20.0%,,0,-100.0%,44,4.8%,
,16,14.3%,1,0.0%,,,2,100.0%,,0,-100.0%,10,42.9%,,,,29,20.8%,
,"1,566",-1.9%,49,4.3%,349,9.7%,162,5.9%,,10,11.1%,57,11.8%,,10,11.1%,"2,203",0.9%,
,"3,058",-2.1%,227,11.3%,747,14.6%,237,17.3%,,32,14.3%,43,-4.4%,,15,114.3%,"4,359",2.3%,
,"3,058",-2.1%,227,11.3%,747,14.6%,237,17.3%,,32,14.3%,43,-4.4%,,15,114.3%,"4,359",2.3%,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,,,,,
