"Spring 2010
Headcount Total
TAMU Age                     18-21
Categories                       22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
PB
Tuition Status                  Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status             Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                    Yes
First Generation              No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,,Black,,,,,Hispanic,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,Grand Total,,,,,
,F,,M,Tot,F,,M,,Tot,F,,M,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,,Tot,,
,,72,127,199,,2,,1,3,,11,12,23,,3,,3,6,,,,2,3,5,10,14,24,100,,160,,260,
,,50,75,125,,,,1,1,,4,5,9,,2,,1,3,,,,1,,1,6,6,12,63,,88,,151,
,,19,44,63,,2,,,2,,5,4,9,,,,2,2,,,,1,2,3,2,7,9,29,,59,,88,
,,3,5,8,,,,,,,1,1,2,,,,,,,,,,1,1,1,,1,5,,7,,12,
,,,3,3,,,,,,,1,1,2,,1,,,1,,,,,,,1,1,2,3,,5,,8,
,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,1,
,,2,4,6,,,,,,,1,,1,,,,,,,,,,,,,,,3,,4,,7,
,,36,69,105,,1,,1,2,,4,8,12,,1,,2,3,,,,2,2,4,6,10,16,50,,92,,142,
,,28,50,78,,1,,,1,,4,3,7,,2,,1,3,,,,,,,4,3,7,39,,57,,96,
,,6,3,9,,,,,,,2,1,3,,,,,,,,,,1,1,,,,8,,5,,13,
,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,,2,
,,66,124,190,,2,,1,3,,11,10,21,,2,,3,5,,,,,,,10,13,23,91,,151,,242,
,,3,1,4,,,,,,,,,,,,,,,,,,1,3,4,,,,4,,4,,8,
,,3,2,5,,,,,,,,2,2,,1,,,1,,,,1,,1,,1,1,5,,5,,10,
,,67,126,193,,2,,1,3,,11,12,23,,2,,3,5,,,,,,,10,14,24,92,,156,,248,
,,5,1,6,,,,,,,,,,,1,,,1,,,,,,,,,,6,,1,,7,
,,,,,,,,,,,,,,,,,,,,,,2,3,5,,,,2,,3,,5,
,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,2,1,3,,,,,,,,,,,,,,,,,,,,,,1,1,2,,2,,4,
,,2,5,7,,,,,,,,,,,,,,,,,,,,,,4,4,2,,9,,11,
,,41,87,128,,1,,1,2,,6,10,16,,2,,1,3,,,,,1,1,6,9,15,56,,109,,165,
,,26,34,60,,1,,,1,,5,2,7,,1,,2,3,,,,2,2,4,4,,4,39,,40,,79,
,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,2,1,3,,,,,,,,,,,,,,,,,,,,,,1,1,2,,2,,4,
,,2,5,7,,,,,,,,,,,,,,,,,,,,,,4,4,2,,9,,11,
,,67,121,188,,2,,1,3,,11,12,23,,3,,3,6,,,,2,3,5,10,9,19,95,,149,,244,
,,62,119,181,,2,,1,3,,10,12,22,,3,,3,6,,,,2,3,5,10,14,24,89,,152,,241,
,,10,8,18,,,,,,,1,,1,,,,,,,,,,,,,,,11,,8,,19,
,,43,76,119,,1,,1,2,,6,5,11,,2,,2,4,,,,,,,4,6,10,56,,90,,146,
,,,3,3,,,,,,,,,,,,,,,,,,2,3,5,,,,2,,6,,8,
,,29,48,77,,1,,,1,,5,7,12,,1,,1,2,,,,,,,6,8,14,42,,64,,106,
,,70,120,190,,2,,,2,,8,9,17,,2,,3,5,,,,2,3,5,8,14,22,92,,149,,241,
,,2,7,9,,,,1,1,,3,3,6,,1,,,1,,,,,,,2,,2,8,,11,,19,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
