Spring 2010,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,24,9.1%,4,300.0%,15,25.0%,4,0.0%,1,100.0%,25,8.7%,2,-33.3%,51,6.3%,
,ENGS,73,32.7%,,,,,,,,,1,0.0%,1,100.0%,95,31.9%,
,ENST,64,56.1%,,,14,100.0%,3,50.0%,,,1,100.0%,,,86,68.6%,
,GEOG,107,2.9%,2,-33.3%,8,-20.0%,4,-20.0%,0,-100.0%,19,-29.6%,1,0.0%,141,-6.6%,
,GEOL,185,6.9%,4,300.0%,20,25.0%,4,300.0%,0,-100.0%,32,6.7%,,,245,10.4%,
,GEOP,31,3.3%,2,-33.3%,4,100.0%,4,100.0%,1,0.0%,29,26.1%,,,71,16.4%,
,GEOS,2,0.0%,,,,,,,,,1,100.0%,1,100.0%,4,100.0%,
,MARB,1,100.0%,,,,,,,,,,,,,1,100.0%,
,METR,98,2.1%,4,300.0%,20,-13.0%,,,2,100.0%,0,-100.0%,,,124,1.6%,
,OCNG,46,2.2%,,,2,-33.3%,3,200.0%,,,32,28.0%,,,83,12.2%,
,SPSG,4,-55.6%,,,1,100.0%,,,,,1,100.0%,,,6,-33.3%,
,USGE,5,100.0%,,,2,100.0%,,,,,,,,,7,100.0%,
,WMHS,17,-22.7%,1,100.0%,1,0.0%,1,100.0%,,,10,25.0%,1,100.0%,31,0.0%,
,Subtotal,657,9.7%,17,88.9%,87,17.6%,23,53.3%,4,0.0%,151,9.4%,6,50.0%,945,12.1%,
Liberal Arts,AMST,7,0.0%,1,0.0%,1,-50.0%,,,,,,,,,9,-10.0%,
,ANTH,213,22.4%,2,0.0%,23,15.0%,8,14.3%,0,-100.0%,12,0.0%,3,0.0%,261,18.6%,
,ANTL,,,,,,,,,,,,,0,-100.0%,0,-100.0%,
,CLSS,13,18.2%,,,3,0.0%,,,,,,,,,16,14.3%,
,COML,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,COMM,699,-9.0%,33,26.9%,100,-1.0%,12,33.3%,7,-12.5%,14,0.0%,4,-20.0%,869,-6.7%,
,ECON,339,12.3%,6,50.0%,49,28.9%,36,-7.7%,1,0.0%,110,10.0%,4,300.0%,545,12.4%,
,ENGL,562,1.6%,19,-29.6%,99,20.7%,25,13.6%,7,40.0%,30,7.1%,1,100.0%,743,3.6%,
,FREN,8,-20.0%,1,100.0%,1,-50.0%,3,200.0%,,,,,1,0.0%,14,0.0%,
,GERM,2,100.0%,,,,,0,-100.0%,1,0.0%,1,100.0%,,,4,33.3%,
,HISP,12,9.1%,,,11,-21.4%,,,,,6,50.0%,,,29,0.0%,
,HIST,616,1.0%,21,90.9%,86,-3.4%,8,0.0%,6,50.0%,4,33.3%,6,50.0%,747,2.5%,
,INTS,418,12.4%,15,7.1%,119,11.2%,26,85.7%,7,16.7%,7,16.7%,5,66.7%,597,14.4%,
,MODL,2,-50.0%,,,5,-16.7%,0,-100.0%,,,0,-100.0%,,,7,-41.7%,
,MUSC,16,-15.8%,4,0.0%,9,50.0%,1,100.0%,,,,,,,30,3.4%,
,NUTR,2,-33.3%,,,,,,,,,,,,,2,-33.3%,
,PHIL,81,-15.6%,3,200.0%,15,7.1%,3,200.0%,1,0.0%,1,100.0%,3,-25.0%,107,-8.5%,
,POLS,600,-7.0%,45,-4.3%,110,-18.5%,32,10.3%,8,60.0%,10,-9.1%,6,20.0%,811,-7.5%,
,PSYC,886,1.8%,57,0.0%,227,8.6%,69,25.5%,11,37.5%,12,50.0%,11,57.1%,"1,273",4.9%,
,RUSS,7,0.0%,,,1,100.0%,,,,,0,-100.0%,,,8,0.0%,
,SOCI,258,-0.4%,56,21.7%,103,14.4%,22,29.4%,5,0.0%,12,-7.7%,4,-20.0%,460,5.7%,
,SPAN,55,-1.8%,1,-50.0%,36,-7.7%,,,,,0,-100.0%,,,92,-6.1%,
,TCMS,90,-5.3%,8,166.7%,11,22.2%,9,80.0%,0,-100.0%,1,0.0%,,,119,4.4%,
,THAR,36,-5.3%,1,100.0%,15,15.4%,2,100.0%,,,1,100.0%,,,55,5.8%,
,USLA,2,100.0%,3,100.0%,,,,,,,,,,,5,400.0%,
,WGST,3,100.0%,,,4,100.0%,,,,,,,,,7,100.0%,
,Subtotal,"4,927",0.3%,276,12.7%,"1,028",5.0%,256,21.9%,54,14.9%,221,8.9%,48,23.1%,"6,810",2.6%,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,,,,
