"Spring 2010
Veterinary              BIMS
Medicine                BIOT EPID GENE LAMD STJR TOXI USVM VMSC VPAT VPHY VTMD VTMI VTMS
Subtotal General Studies      GEST
TEAM
Subtotal
Other - Special       CHEN Populations            ELEN
MARA MARB MARM MAST MDSC MEEN PETE PHLT REEP
Subtotal
University              Total",Undergraduate,,,,Masters,,,,PhD,,,Professional,Total,
,"1st Time in College
10
10
9
9
90","1st Time Transfer
1
1
80
80
797","Readmitte d
1
1
39
39
253","Continuing
1,526
3
1,529
3,508
723
4,231
1
3
1
1
1
3
48
58
35,247",1st Time PB,1st Time Graduate,Readmitte d,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
,,,,,1,5,13,39,1,5,23,507,"1,606",
,,,,,,,,4,,,,,4,
,,,,,,,,1,,,,,1,
,,,,,,,,1,,,5,,6,
,,,,,,,,4,,,,,4,
,,,,,,1,,13,,,,,14,
,,,,,,,,5,2,,13,,20,
,,,,,,,,,,,,,3,
,,,,,,,,1,,,4,,5,
,,,,,,,,3,,,10,,14,
,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,507,
,,,,,,,,3,,,14,,17,
,,,,,,,,1,,,,,1,
,,,,,1,6,,75,3,,70,507,"2,203",
,,,,,,,,,,,,,"3,636",
,,,,,,,,,,,,,723,
,,,,,,,,,,,,,"4,359",
,,,,,,,,,,,,,1,
,,,,,,,,,,,,,3,
,,,,,,,,,,,,,1,
,,,,,,,,2,,,1,,3,
,,,,,,,,2,,,,,2,
,,,,,,,,,,,,,1,
,,,,,,,,10,,,,,10,
,,,,,,,,,,,,,1,
,,,,,,,,,,,,,3,
,,,,,11,,,9,,,,,20,
,,,,,,,,10,,,,,58,
,,,,,11,,,33,,,1,,103,
,,,,,107,425,,"4,833",97,,"3,486",507,"45,860",
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,
