"Spring 2010
Headcount Total
TAMU Age                     18-21
Categories                       22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
PB
Tuition Status                  Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status             Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                    Yes
First Generation              No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,,,Black,,,,,Hispanic,,,,Asian,,,,American Indian,,,International,,,Unknown/Other,,,Grand Total,,,,,,
,F,,M,,Tot,F,,M,,Tot,F,,M,Tot,F,,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,,M,,Tot,,
,,10,,56,66,,1,,5,6,,2,13,15,,2,13,15,,1,1,2,7,9,3,8,11,,20,,103,,123,
,,8,,36,44,,,,3,3,,2,8,10,,1,7,8,,1,1,1,2,3,1,3,4,,13,,60,,73,
,,2,,12,14,,,,1,1,,,3,3,,1,4,5,,,,1,4,5,1,3,4,,5,,27,,32,
,,,,6,6,,1,,1,2,,,1,1,,,2,2,,,,,1,1,1,1,2,,2,,12,,14,
,,,,1,1,,,,,,,,1,1,,,,,,,,,,,,1,1,,,,3,,3,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,1,1,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,3,,3,
,,6,,31,37,,,,3,3,,1,5,6,,,8,8,,,,1,4,5,1,4,5,,9,,55,,64,
,,2,,23,25,,1,,2,3,,,7,7,,2,4,6,,,,1,2,3,1,3,4,,7,,41,,48,
,,2,,1,3,,,,,,,1,,1,,,1,1,,,,,,,1,1,2,,4,,3,,7,
,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,1,
,,10,,55,65,,1,,5,6,,2,13,15,,1,13,14,,1,1,,2,2,1,7,8,,15,,96,,111,
,,,,,,,,,,,,,,,,,,,,,,,5,5,1,1,2,,1,,6,,7,
,,,,1,1,,,,,,,,,,,1,,1,,,,2,,2,1,,1,,4,,1,,5,
,,10,,56,66,,1,,5,6,,2,13,15,,1,13,14,,1,1,,,,2,8,10,,16,,96,,112,
,,,,,,,,,,,,,,,,1,,1,,,,,1,1,1,,1,,2,,1,,3,
,,,,,,,,,,,,,,,,,,,,,,2,6,8,,,,,2,,6,,8,
,,,,,,,,,,,,,,,,1,1,2,,,,,,,,1,1,,1,,2,,3,
,,1,,5,6,,,,,,,,,,,,,,,,,,1,1,,,,,1,,6,,7,
,,3,,3,6,,,,1,1,,,,,,,1,1,,,,,,,,,,,3,,5,,8,
,,4,,40,44,,1,,4,5,,1,12,13,,,7,7,,1,1,1,6,7,2,6,8,,9,,76,,85,
,,2,,8,10,,,,,,,1,1,2,,1,4,5,,,,1,,1,1,1,2,,6,,14,,20,
,,,,,,,,,,,,,,,,1,1,2,,,,,,,,1,1,,1,,2,,3,
,,1,,5,6,,,,,,,,,,,,,,,,,,1,1,,,,,1,,6,,7,
,,3,,3,6,,,,1,1,,,,,,,1,1,,,,,,,,,,,3,,5,,8,
,,6,,48,54,,1,,4,5,,2,13,15,,1,11,12,,1,1,2,6,8,3,7,10,,15,,90,,105,
,,9,,51,60,,1,,5,6,,2,13,15,,2,12,14,,1,1,2,7,9,3,8,11,,19,,97,,116,
,,1,,5,6,,,,,,,,,,,,1,1,,,,,,,,,,,1,,6,,7,
,,7,,39,46,,1,,4,5,,2,5,7,,1,6,7,,1,1,,,,1,4,5,,12,,59,,71,
,,,,1,1,,,,,,,,,,,,1,1,,,,2,5,7,1,,1,,3,,7,,10,
,,3,,16,19,,,,1,1,,,8,8,,1,6,7,,,,,2,2,1,4,5,,5,,37,,42,
,,10,,48,58,,1,,1,2,,2,6,8,,1,9,10,,1,1,2,4,6,3,7,10,,19,,76,,95,
,,,,8,8,,,,4,4,,,7,7,,1,4,5,,,,,3,3,,1,1,,1,,27,,28,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
