Headcount by Level by Ethnic Origin by Gender,,,,,,,,,,,,
Summer 2001,,,,,,,,,,,,
Summer 2001,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Male,White,5369,1.0%,753,-2.8%,527,-9.8%,40,0.0%,6689,-0.4%,
,Black,167,-15.7%,22,69.2%,17,-19.0%,,,206,-11.2%,
,Hispanic,630,-7.6%,59,-10.6%,50,19.0%,1,100.0%,740,-6.3%,
,Asian,282,3.3%,34,-2.9%,16,0.0%,0,-100.0%,332,2.2%,
,American Indian,38,26.7%,3,50.0%,6,20.0%,0,-100.0%,47,23.7%,
,International,175,-2.2%,724,14.2%,722,8.1%,,,1621,9.5%,
,Unknown/Other,107,21.6%,13,-7.1%,17,6.3%,1,100.0%,138,16.9%,
,Subtotal,6768,0.1%,1608,4.5%,1355,0.2%,42,0.0%,9773,0.8%,
Female,White,5590,6.0%,740,4.4%,383,-12.2%,81,2.5%,6794,4.6%,
,Black,212,-5.8%,30,-16.7%,57,7.5%,,,299,-4.8%,
,Hispanic,588,-7.4%,75,7.1%,64,6.7%,4,-33.3%,731,-5.2%,
,Asian,217,12.4%,24,-7.7%,20,17.6%,5,66.7%,266,11.3%,
,American Indian,28,-6.7%,4,-20.0%,2,0.0%,2,100.0%,36,-2.7%,
,International,81,-4.7%,297,14.2%,230,19.2%,,,608,13.0%,
,Unknown/Other,107,-6.1%,15,-6.3%,8,60.0%,,,130,-3.7%,
,Subtotal,6823,4.1%,1185,5.6%,764,-0.3%,92,4.5%,8864,3.9%,
GRAND Total,,13591,2.0%,2793,5.0%,2119,0.0%,134,3.1%,18637,2.2%,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,
