Summer 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,21,425.0%,19,100.0%,,,,,40,900.0%,
Gender,Male,8,166.7%,5,100.0%,,,,,13,333.3%,
,Female,13,1200.0%,14,100.0%,,,,,27,2600.0%,
Ethnic Origin,White,,,6,100.0%,,,,,6,100.0%,
,Black,,,2,100.0%,,,,,2,100.0%,
,Hispanic,,,7,100.0%,,,,,7,100.0%,
,Asian,,,,,,,,,,,
,American Indian,,,,,,,,,,,
,International,21,425.0%,2,100.0%,,,,,23,475.0%,
,Unknown/Other,,,2,100.0%,,,,,2,100.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,15,650.0%,,,,,,,15,650.0%,
,,,,,,,,,,,,
,22-25,6,500.0%,6,100.0%,,,,,12,1100.0%,
,26-30,,,6,100.0%,,,,,6,100.0%,
,31-39,0,-100.0%,5,100.0%,,,,,5,400.0%,
,40+,,,2,100.0%,,,,,2,100.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,,,,,,,,,
,,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Re Admitted,,,,,,,,,,,
,Continuing,21,425.0%,19,100.0%,,,,,40,900.0%,
Tuition Status,Resident Tuition,,,17,100.0%,,,,,17,100.0%,
,Non-Resident Tuition,21,425.0%,,,,,,,21,425.0%,
,Tuition Exemption/Waiver,,,2,100.0%,,,,,2,100.0%,
Residency,Texas Resident,,,17,100.0%,,,,,17,100.0%,
Status,"Non-TX, US Resident",,,,,,,,,,,
,"Non-TX, Non-US Resident",21,425.0%,2,100.0%,,,,,23,475.0%,
SCH,< 6 SCH,1,100.0%,14,100.0%,,,,,15,100.0%,
Categories,6-8 SCH,19,533.3%,4,100.0%,,,,,23,666.7%,
,,,,,,,,,,,,
,9-11 SCH,0,-100.0%,1,100.0%,,,,,1,0.0%,
,12-14 SCH,1,100.0%,,,,,,,1,100.0%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:  TAMU,Less Than Half Time,1,100.0%,,,,,,,1,100.0%,
Status,Half-Time,,,,,,,,,,,
,,,,,,,,,,,,
,Full-Time,20,100.0%,19,100.0%,,,,,39,100.0%,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,
