Graduate Students,,,,,,,
Summer 2001,,,,,,,
Summer 2001,,G6:  Non-Degreed PB,"G7:
Masters","G8:
Doctoral",G9:  Probationary GR,"GRAND
Total",
Head Count,Total,278,2507,2119,8,4912,
Gender,Male,107,1494,1355,7,2963,
,Female,171,1013,764,1,1949,
Ethnic Origin,White,187,1299,910,7,2403,
,Black,21,31,74,,126,
,Hispanic,31,103,114,,248,
,Asian,5,53,36,,94,
,American Indian,2,5,8,,15,
,International,19,1001,952,1,1973,
,Unknown/Other,13,15,25,,53,
TAMU Age,18-21,,8,,,8,
Categories,22-25,40,1337,138,3,1518,
,,,,,,,
,26-30,57,766,786,1,1610,
,31-39,66,298,785,2,1151,
,40+,115,98,410,2,625,
College,AG & Life Science,18,434,377,,829,
,Architecture,6,153,38,1,198,
,Business Admin,4,382,68,,454,
,Education,137,285,471,1,894,
,Engineering,19,772,543,1,1335,
,Geosciences,11,116,74,1,202,
,G. Bush School of Govt,21,23,,,44,
,Liberal Arts,6,136,173,,315,
,Science,35,168,299,4,506,
,Veterinary Medicine,2,38,76,,116,
,Other,19,,,,19,
Enrollment,1st Time Graduate,,300,26,3,329,
Status,Re Admitted,,6,3,,9,
,,,,,,,
,Continuing,278,2201,2090,5,4574,
Tuition Status,Resident Tuition,205,1113,754,3,2075,
,Non-Resident Tuition,48,366,266,3,683,
,Tuition Exemption/Waiver,25,1028,1099,2,2154,
Residency,Texas Resident,206,1114,760,3,2083,
Status,"Non-TX, US Resident",53,391,405,4,853,
,,,,,,,
,"Non-TX, Non-US Resident",19,1002,954,1,1976,
SCH,< 6 SCH,146,766,628,2,1542,
Categories,6-8 SCH,124,1402,1332,5,2863,
,9-11 SCH,7,239,117,,363,
,12-14 SCH,1,95,29,1,126,
,15-17 SCH,,4,11,,15,
,>17 SCH,,1,2,,3,
Ft/Pt:  TAMU,Less Than Half Time,14,308,379,,701,
Status,Half-Time,13,160,89,,262,
,Full-Time,251,2039,1651,8,3949,
"Prepared by OISP, 09 Aug 01",,,,,,,
