Summer 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,510,3.7%,,,,,,,510,3.7%,
Gender,Male,281,6.4%,,,,,,,281,6.4%,
,Female,229,0.4%,,,,,,,229,0.4%,
Ethnic Origin,White,360,4.0%,,,,,,,360,4.0%,
,Black,44,4.8%,,,,,,,44,4.8%,
,Hispanic,71,7.6%,,,,,,,71,7.6%,
,Asian,18,12.5%,,,,,,,18,12.5%,
,American Indian,3,-40.0%,,,,,,,3,-40.0%,
,International,1,-80.0%,,,,,,,1,-80.0%,
,Unknown/Other,13,8.3%,,,,,,,13,8.3%,
TAMU Age,<18,2,0.0%,,,,,,,2,0.0%,
Categories,18-21,477,1.7%,,,,,,,477,1.7%,
,,,,,,,,,,,,
,22-25,24,20.0%,,,,,,,24,20.0%,
,26-30,4,300.0%,,,,,,,4,300.0%,
,31-39,3,100.0%,,,,,,,3,100.0%,
,40+,,,,,,,,,,,
Enrollment,1st Time in College,138,2.2%,,,,,,,138,2.2%,
Status,1st Time PB,,,,,,,,,,,
,,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Transfer,6,-14.3%,,,,,,,6,-14.3%,
,Re Admitted,,,,,,,,,,,
,Continuing,366,4.6%,,,,,,,366,4.6%,
Tuition Status,Resident Tuition,481,3.4%,,,,,,,481,3.4%,
,Non-Resident Tuition,22,-4.3%,,,,,,,22,-4.3%,
,Tuition Exemption/Waiver,7,75.0%,,,,,,,7,75.0%,
Residency,Texas Resident,485,4.3%,,,,,,,485,4.3%,
Status,"Non-TX, US Resident",24,9.1%,,,,,,,24,9.1%,
,"Non-TX, Non-US Resident",1,-80.0%,,,,,,,1,-80.0%,
SCH,< 6 SCH,120,4.3%,,,,,,,120,4.3%,
Categories,6-8 SCH,200,1.0%,,,,,,,200,1.0%,
,,,,,,,,,,,,
,9-11 SCH,48,6.7%,,,,,,,48,6.7%,
,12-14 SCH,142,6.0%,,,,,,,142,6.0%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:  TAMU,Less Than Half Time,10,100.0%,,,,,,,10,100.0%,
Status,Half-Time,120,100.0%,,,,,,,120,100.0%,
,,,,,,,,,,,,
,Full-Time,380,100.0%,,,,,,,380,100.0%,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,
