Summer 2001,,Undergraduate,,,,,Masters,,,PhD,,,Professional,Total,
,,1st Time in College,1st Time PB,1st Time Transfer,Re Admitted,Continuin g,1st Time Graduate,Re Admitted,Continuin g,1st Time Graduate,Re Admitted,Continuin g,Continuing,,
General              GEST,,138,,6,,366,,,,,,,,510,
Studies,Subtotal,138,,6,,366,,,,,,,,510,
"Other                 PHLT
REEP",,,,,,21,,,19,,,,,"19
21",
University,Subtotal,,,,,21,,,19,,,,,40,
,Total,280,16,342,150,12803,303,6,2484,26,3,2090,134,18637,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
