"Summer 2001
Liberal Arts             ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
Distance                   EDCI
Education                INEN
Subtotal
General Studies       GEST
Subtotal
Other                       SABX
SRPH
Subtotal
Total",White,,,Black,,,Hispanic,,,Asian,,,American Indian,,,International,,,Unknown/Other,,,Total,,,
,#,,% chg,#,,% chg,#,,% chg,#,,% chg,#,,% chg,#,,% chg,#,,% chg,#,,% chg,
,,69,27.8%,,,,,10,66.7%,,2,-33.3%,,,,,5,66.7%,,2,100.0%,,88,33.3%,
,,72,24.1%,,3,0.0%,,21,-16.0%,,3,-40.0%,,,,,0,-100.0%,,1,-50.0%,,100,4.2%,
,,220,8.9%,,4,0.0%,,20,-4.8%,,12,71.4%,,1,0.0%,,17,-37.0%,,8,300.0%,,282,6.8%,
,,238,-0.8%,,3,-40.0%,,31,-13.9%,,3,-25.0%,,1,100.0%,,11,0.0%,,2,-33.3%,,289,-3.3%,
,,184,7.6%,,4,33.3%,,26,0.0%,,2,100.0%,,4,300.0%,,,,,6,50.0%,,226,9.7%,
,,295,9.3%,,13,0.0%,,39,14.7%,,10,66.7%,,4,33.3%,,6,50.0%,,3,50.0%,,370,11.4%,
,,26,30.0%,,1,100.0%,,11,-38.9%,,2,100.0%,,,,,1,100.0%,,2,100.0%,,43,7.5%,
,,29,31.8%,,,,,0,-100.0%,,5,150.0%,,,,,,,,1,0.0%,,35,25.0%,
,,322,19.7%,,8,0.0%,,32,23.1%,,7,133.3%,,3,200.0%,,9,0.0%,,6,50.0%,,387,20.9%,
,,3,-66.7%,,1,0.0%,,3,-50.0%,,,,,,,,,,,,,,7,-56.3%,
,,461,9.2%,,18,-10.0%,,73,12.3%,,23,35.3%,,3,-25.0%,,4,-33.3%,,8,0.0%,,590,8.9%,
,,234,8.8%,,10,0.0%,,27,50.0%,,4,100.0%,,2,-33.3%,,1,0.0%,,7,75.0%,,285,12.6%,
,,102,-15.0%,,5,-58.3%,,17,-15.0%,,7,133.3%,,1,0.0%,,7,-22.2%,,1,0.0%,,140,-15.7%,
,,2255,8.8%,,70,-11.4%,,310,2.0%,,80,48.1%,,19,35.7%,,61,-16.4%,,47,46.9%,,2842,8.1%,
,,298,4.2%,,18,-25.0%,,44,0.0%,,34,36.0%,,1,-50.0%,,25,-26.5%,,9,-25.0%,,429,0.5%,
,,142,-5.3%,,9,80.0%,,14,7.7%,,10,-23.1%,,1,0.0%,,86,11.7%,,5,66.7%,,267,1.9%,
,,95,6.7%,,1,-75.0%,,8,0.0%,,3,-50.0%,,1,100.0%,,47,23.7%,,1,-50.0%,,156,6.1%,
,,64,-29.7%,,4,33.3%,,3,0.0%,,3,50.0%,,0,-100.0%,,63,0.0%,,1,-50.0%,,138,-16.4%,
,,15,25.0%,,1,100.0%,,2,100.0%,,1,0.0%,,,,,39,21.9%,,,,,58,28.9%,
,,614,-2.2%,,33,-8.3%,,71,4.4%,,51,8.5%,,3,-25.0%,,260,6.6%,,16,-15.8%,,1048,0.2%,
,,694,8.1%,,17,-39.3%,,69,-10.4%,,40,14.3%,,7,0.0%,,2,-50.0%,,16,166.7%,,845,5.8%,
,,21,-16.0%,,,,,1,-50.0%,,1,0.0%,,,,,7,40.0%,,,,,30,-9.1%,
,,5,400.0%,,,,,,,,,,,,,,,,,,,,5,400.0%,
,,3,50.0%,,,,,,,,,,,,,,,,,,,,3,50.0%,
,,26,4.0%,,1,0.0%,,4,300.0%,,1,0.0%,,,,,12,-20.0%,,1,0.0%,,45,2.3%,
,,17,-15.0%,,1,100.0%,,0,-100.0%,,1,0.0%,,,,,14,40.0%,,,,,33,0.0%,
,,766,7.1%,,19,-34.5%,,74,-9.8%,,43,13.2%,,7,0.0%,,35,2.9%,,17,142.9%,,961,5.4%,
,,,,,,,,,,,,,,,,,,,,0,-100.0%,,0,-100.0%,
,,0,-100.0%,,,,,,,,,,,,,,,,,,,,0,-100.0%,
,,0,-100.0%,,,,,,,,,,,,,,,,,0,-100.0%,,0,-100.0%,
,,360,4.0%,,44,4.8%,,71,7.6%,,18,12.5%,,3,-40.0%,,1,-80.0%,,13,8.3%,,510,3.7%,
,,360,4.0%,,44,4.8%,,71,7.6%,,18,12.5%,,3,-40.0%,,1,-80.0%,,13,8.3%,,510,3.7%,
,,,,,,,,,,,,,,,,,21,425.0%,,,,,21,425.0%,
,,6,100.0%,,2,100.0%,,7,100.0%,,,,,,,,2,100.0%,,2,100.0%,,19,100.0%,
,,6,100.0%,,2,100.0%,,7,100.0%,,,,,,,,23,475.0%,,2,100.0%,,40,900.0%,
,,13483,2.1%,,505,-7.5%,,1471,-5.8%,,598,6.0%,,83,10.7%,,2229,10.4%,,268,5.9%,,18637,2.2%,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,,,,,,,,,,,,,,
