Summer 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,0,-100.0%,,,,,0,-100.0%,
Gender,Male,,,0,-100.0%,,,,,0,-100.0%,
,Female,,,0,-100.0%,,,,,0,-100.0%,
Ethnic Origin,White,,,0,-100.0%,,,,,0,-100.0%,
,Black,,,,,,,,,,,
,Hispanic,,,,,,,,,,,
,Asian,,,,,,,,,,,
,American Indian,,,,,,,,,,,
,International,,,,,,,,,,,
,Unknown/Other,,,0,-100.0%,,,,,0,-100.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,,,,,,,,,
,,,,,,,,,,,,
,22-25,,,0,-100.0%,,,,,0,-100.0%,
,26-30,,,0,-100.0%,,,,,0,-100.0%,
,31-39,,,,,,,,,,,
,40+,,,,,,,,,,,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,,,,,,,,,
,,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Re Admitted,,,,,,,,,,,
,Continuing,,,0,-100.0%,,,,,0,-100.0%,
Tuition Status,Resident Tuition,,,0,-100.0%,,,,,0,-100.0%,
,Non-Resident Tuition,,,,,,,,,,,
,Tuition Exemption/Waiver,,,0,-100.0%,,,,,0,-100.0%,
Residency,Texas Resident,,,0,-100.0%,,,,,0,-100.0%,
Status,"Non-TX, US Resident",,,0,-100.0%,,,,,0,-100.0%,
,"Non-TX, Non-US Resident",,,,,,,,,,,
SCH,< 6 SCH,,,0,-100.0%,,,,,0,-100.0%,
Categories,6-8 SCH,,,,,,,,,,,
,,,,,,,,,,,,
,9-11 SCH,,,,,,,,,,,
,12-14 SCH,,,,,,,,,,,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:  TAMU,Less Than Half Time,,,,,,,,,,,
Status,Half-Time,,,,,,,,,,,
,,,,,,,,,,,,
,Full-Time,,,,,,,,,,,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,
