Summer 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,44,37.5%,,,,,44,37.5%,
Gender,Male,,,25,38.9%,,,,,25,38.9%,
,Female,,,19,35.7%,,,,,19,35.7%,
Ethnic Origin,White,,,38,46.2%,,,,,38,46.2%,
,Black,,,1,0.0%,,,,,1,0.0%,
,Hispanic,,,4,33.3%,,,,,4,33.3%,
,Asian,,,0,-100.0%,,,,,0,-100.0%,
,American Indian,,,,,,,,,,,
,International,,,1,0.0%,,,,,1,0.0%,
,Unknown/Other,,,,,,,,,,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,,,,,,,,,
,,,,,,,,,,,,
,22-25,,,26,18.2%,,,,,26,18.2%,
,26-30,,,11,37.5%,,,,,11,37.5%,
,31-39,,,1,100.0%,,,,,1,100.0%,
,40+,,,6,200.0%,,,,,6,200.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,,,,,,,,,
,,,,,,,,,,,,
,1st Time Graduate,,,2,-50.0%,,,,,2,-50.0%,
,1st Time Transfer,,,,,,,,,,,
,Re Admitted,,,,,,,,,,,
,Continuing,,,42,50.0%,,,,,42,50.0%,
Tuition Status,Resident Tuition,,,30,50.0%,,,,,30,50.0%,
,Non-Resident Tuition,,,1,100.0%,,,,,1,100.0%,
,Tuition Exemption/Waiver,,,13,8.3%,,,,,13,8.3%,
Residency,Texas Resident,,,30,50.0%,,,,,30,50.0%,
Status,"Non-TX, US Resident",,,13,18.2%,,,,,13,18.2%,
,"Non-TX, Non-US Resident",,,1,0.0%,,,,,1,0.0%,
SCH,< 6 SCH,,,17,325.0%,,,,,17,325.0%,
Categories,6-8 SCH,,,25,-10.7%,,,,,25,-10.7%,
,,,,,,,,,,,,
,9-11 SCH,,,1,100.0%,,,,,1,100.0%,
,12-14 SCH,,,1,100.0%,,,,,1,100.0%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:  TAMU,Less Than Half Time,,,,,,,,,,,
Status,Half-Time,,,1,100.0%,,,,,1,100.0%,
,,,,,,,,,,,,
,Full-Time,,,43,100.0%,,,,,43,100.0%,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,
