Summer 2009,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
G. Bush,BUSH,0,-100.0%,1,100.0%,0,-100.0%,3,50.0%,1,100.0%,0,-100.0%,0,-100.0%,0,-100.0%,
"School of
Govt",CAIA CHLS,"36
13","9.1%
-13.3%",,,8,100.0%,,,,,1,100.0%,,,"49
14","22.5%
-6.7%",
,CNPM,14,366.7%,1,0.0%,,,,,,,,,,,15,275.0%,
,INTA,13,8.3%,0,-100.0%,0,-100.0%,,,,,2,-50.0%,1,0.0%,16,-20.0%,
,PSAA,10,100.0%,,,3,100.0%,,,,,3,100.0%,,,16,100.0%,
,Subtotal,86,19.4%,2,-33.3%,11,57.1%,3,50.0%,1,100.0%,6,-25.0%,1,-50.0%,110,17.0%,
Geosciences,ATMO,19,-9.5%,,,0,-100.0%,,,,,22,0.0%,1,-50.0%,42,-10.6%,
,ENGS,19,5.6%,,,6,500.0%,0,-100.0%,,,0,-100.0%,,,25,19.0%,
,ENST,16,33.3%,1,100.0%,0,-100.0%,1,0.0%,,,,,,,18,20.0%,
,GEOG,38,-28.3%,0,-100.0%,6,20.0%,3,0.0%,1,0.0%,7,-36.4%,2,100.0%,57,-24.0%,
,GEOL,74,27.6%,,,7,75.0%,0,-100.0%,1,100.0%,19,35.7%,,,101,31.2%,
,GEOP,12,200.0%,,,1,100.0%,,,,,14,27.3%,,,27,80.0%,
,GEOS,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,METR,22,-37.1%,,,5,-28.6%,,,1,100.0%,1,0.0%,,,29,-32.6%,
,OCNG,33,0.0%,,,0,-100.0%,0,-100.0%,,,20,-9.1%,,,53,-8.6%,
,SPSG,2,-33.3%,,,,,,,,,,,,,2,-33.3%,
,USGE,2,100.0%,,,,,,,,,,,,,2,100.0%,
,WMHS,11,266.7%,,,1,100.0%,,,,,5,66.7%,,,17,183.3%,
,Subtotal,248,2.9%,1,0.0%,26,13.0%,4,-42.9%,3,200.0%,88,3.5%,3,0.0%,373,3.3%,
Liberal Arts,AMST,1,-83.3%,,,1,0.0%,,,0,-100.0%,,,,,2,-75.0%,
,ANTH,53,20.5%,1,0.0%,8,-20.0%,3,100.0%,0,-100.0%,2,-60.0%,0,-100.0%,67,8.1%,
,CLSS,2,100.0%,,,,,,,,,,,,,2,100.0%,
,COML,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,COMM,277,-6.7%,17,70.0%,36,-2.7%,2,-50.0%,3,-25.0%,6,0.0%,2,-33.3%,343,-5.0%,
,ECON,160,8.1%,3,-25.0%,18,-33.3%,16,77.8%,0,-100.0%,41,-4.7%,1,0.0%,239,2.6%,
,ENGL,182,-19.1%,10,-50.0%,32,0.0%,10,-16.7%,2,100.0%,10,-37.5%,,,246,-19.6%,
,FREN,4,-33.3%,0,-100.0%,,,1,0.0%,,,,,,,5,-37.5%,
,GERM,1,0.0%,,,,,,,,,0,-100.0%,,,1,-50.0%,
,HISP,4,300.0%,,,7,600.0%,,,,,1,100.0%,,,12,500.0%,
,HIST,212,-7.8%,7,-12.5%,30,3.4%,2,-33.3%,1,-50.0%,1,100.0%,2,0.0%,255,-6.9%,
,INTS,132,3.9%,4,-42.9%,37,12.1%,2,-71.4%,1,0.0%,4,-33.3%,0,-100.0%,180,-1.1%,
,MODL,4,300.0%,,,1,0.0%,,,,,,,,,5,150.0%,
,MUSC,4,33.3%,,,1,0.0%,,,,,,,,,5,25.0%,
,NUTR,3,50.0%,,,,,,,,,,,,,3,50.0%,
,PHIL,27,-18.2%,1,0.0%,7,0.0%,1,100.0%,0,-100.0%,,,1,-50.0%,37,-15.9%,
,POLS,240,-9.1%,27,17.4%,45,-16.7%,10,-9.1%,3,200.0%,10,0.0%,6,200.0%,341,-6.6%,
,PSYC,349,0.6%,23,-11.5%,74,2.8%,24,9.1%,5,400.0%,6,-14.3%,5,400.0%,486,2.1%,
,RUSS,1,-50.0%,,,,,,,,,,,,,1,-50.0%,
,SOCI,116,-13.4%,32,45.5%,31,-22.5%,8,33.3%,1,0.0%,4,0.0%,7,-30.0%,199,-8.3%,
,SPAN,21,10.5%,0,-100.0%,18,-10.0%,0,-100.0%,,,0,-100.0%,,,39,-11.4%,
,TCMS,25,-19.4%,1,-66.7%,3,-25.0%,2,0.0%,0,-100.0%,,,,,31,-24.4%,
,THAR,7,-30.0%,,,5,-28.6%,,,,,,,,,12,-29.4%,
,Subtotal,"1,825",-5.5%,126,-1.6%,354,-5.9%,81,2.5%,16,0.0%,85,-14.1%,24,4.3%,"2,511",-5.4%,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,,,,,,,
