Summer 2009,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,549",1.0%,380,-8.9%,53,-15.9%,,,"1,982",-1.5%,
Gender,Female,831,2.8%,192,-4.0%,14,-26.3%,,,"1,037",1.0%,
,Male,718,-1.0%,188,-13.4%,39,-11.4%,,,945,-4.2%,
Ethnicity,White,"1,254",2.0%,272,-6.8%,27,-15.6%,,,"1,553",-0.1%,
,Black,40,-7.0%,6,20.0%,1,-50.0%,,,47,-6.0%,
,Hispanic,146,-9.9%,29,61.1%,0,-100.0%,,,175,-3.3%,
,Asian,79,8.2%,19,-5.0%,3,200.0%,,,101,7.4%,
,American Indian,10,-9.1%,2,100.0%,,,,,12,9.1%,
,International,14,40.0%,48,-40.0%,21,-12.5%,,,83,-27.2%,
,Unknown/Other,6,50.0%,4,100.0%,1,-66.7%,,,11,22.2%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,992,0.8%,14,0.0%,,,,,"1,006",0.8%,
,22-25,523,0.0%,295,-10.1%,5,0.0%,,,823,-3.9%,
,26-30,16,-11.1%,49,-9.3%,15,-28.6%,,,80,-14.0%,
,31-39,11,175.0%,19,0.0%,26,-13.3%,,,56,5.7%,
,40+,7,75.0%,3,50.0%,7,0.0%,,,17,30.8%,
Enrollment,1st Time in College,5,-16.7%,,,,,,,5,-16.7%,
Status,1st Time PB,,,0,-100.0%,,,,,0,-100.0%,
,1st Time Graduate,,,157,3.3%,3,-40.0%,,,160,1.9%,
,1st Time Transfer,15,-46.4%,,,,,,,15,-46.4%,
,Readmitted,7,16.7%,,,,,,,7,16.7%,
,Continuing,"1,522",1.9%,223,-15.5%,50,-13.8%,,,"1,795",-1.1%,
Tuition,Resident Tuition,"1,507",0.7%,314,-1.9%,14,-30.0%,,,"1,835",-0.1%,
Status,Non-Resident  Tuition,19,26.7%,19,-42.4%,0,-100.0%,,,38,-24.0%,
,Tuition Exemption/Waiver,23,4.5%,47,-26.6%,39,-4.9%,,,109,-14.2%,
Residency,Texas Resident,"1,513",1.0%,319,-1.5%,15,-31.8%,,,"1,847",0.2%,
Status,"Non-TX, US Resident",22,-12.0%,13,0.0%,17,0.0%,,,52,-5.5%,
,"Non-TX, Non-US Resident",14,40.0%,48,-40.0%,21,-12.5%,,,83,-27.2%,
SCH,< 6 SCH,519,3.0%,132,-31.3%,7,-22.2%,,,658,-6.7%,
Categories,6-8 SCH,643,7.7%,109,32.9%,46,-14.8%,,,798,8.9%,
,9-11 SCH,217,-10.7%,61,41.9%,,,,,278,-2.8%,
,12-14 SCH,160,-11.6%,77,-21.4%,,,,,237,-15.1%,
,15-17 SCH,6,0.0%,1,0.0%,,,,,7,0.0%,
,>17 SCH,4,100.0%,0,-100.0%,,,,,4,33.3%,
Ft/Pt:,Less Than Half Time,78,6.8%,12,-58.6%,1,-50.0%,,,91,-12.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","588
3","5.2%
200.0%",35,-40.7%,1,-50.0%,,,"624
3","0.6%
200.0%",
,Full-Time,880,-2.2%,333,1.2%,51,-13.6%,,,"1,264",-1.9%,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,
