Summer 2009,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,903,-2.4%,,,,,,,903,-2.4%,
Gender,Female,392,-3.7%,,,,,,,392,-3.7%,
,Male,511,-1.4%,,,,,,,511,-1.4%,
Ethnicity,White,612,7.2%,,,,,,,612,7.2%,
,Black,96,-22.0%,,,,,,,96,-22.0%,
,Hispanic,126,-23.6%,,,,,,,126,-23.6%,
,Asian,40,-20.0%,,,,,,,40,-20.0%,
,American Indian,7,40.0%,,,,,,,7,40.0%,
,International,14,75.0%,,,,,,,14,75.0%,
,Unknown/Other,8,166.7%,,,,,,,8,166.7%,
TAMU Age,<18,1,-66.7%,,,,,,,1,-66.7%,
Categories,18-21,882,-1.3%,,,,,,,882,-1.3%,
,22-25,16,-33.3%,,,,,,,16,-33.3%,
,26-30,3,100.0%,,,,,,,3,100.0%,
,31-39,0,-100.0%,,,,,,,0,-100.0%,
,40+,1,-66.7%,,,,,,,1,-66.7%,
Enrollment,1st Time in College,323,-9.5%,,,,,,,323,-9.5%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Transfer,0,-100.0%,,,,,,,0,-100.0%,
,Readmitted,5,25.0%,,,,,,,5,25.0%,
,Continuing,575,2.1%,,,,,,,575,2.1%,
Tuition,Resident Tuition,843,-3.3%,,,,,,,843,-3.3%,
Status,Non-Resident  Tuition,36,16.1%,,,,,,,36,16.1%,
,Tuition Exemption/Waiver,24,9.1%,,,,,,,24,9.1%,
Residency,Texas Resident,846,-3.0%,,,,,,,846,-3.0%,
Status,"Non-TX, US Resident",41,-6.8%,,,,,,,41,-6.8%,
,"Non-TX, Non-US Resident",16,77.8%,,,,,,,16,77.8%,
SCH,< 6 SCH,258,7.5%,,,,,,,258,7.5%,
Categories,6-8 SCH,548,-5.8%,,,,,,,548,-5.8%,
,9-11 SCH,69,4.5%,,,,,,,69,4.5%,
,12-14 SCH,28,-17.6%,,,,,,,28,-17.6%,
,15-17 SCH,0,-100.0%,,,,,,,0,-100.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,19,35.7%,,,,,,,19,35.7%,
"TAMU
Status","Half-Time
Three-Quarter Time","297
4","16.0%
100.0%",,,,,,,"297
4","16.0%
100.0%",
,Full-Time,583,-10.7%,,,,,,,583,-10.7%,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,
