Summer 2009,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,110,17.0%,,,,,110,17.0%,
Gender,Female,,,39,21.9%,,,,,39,21.9%,
,Male,,,71,14.5%,,,,,71,14.5%,
Ethnicity,White,,,86,19.4%,,,,,86,19.4%,
,Black,,,2,-33.3%,,,,,2,-33.3%,
,Hispanic,,,11,57.1%,,,,,11,57.1%,
,Asian,,,3,50.0%,,,,,3,50.0%,
,American Indian,,,1,100.0%,,,,,1,100.0%,
,International,,,6,-25.0%,,,,,6,-25.0%,
,Unknown/Other,,,1,-50.0%,,,,,1,-50.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,0,-100.0%,,,,,0,-100.0%,
,22-25,,,33,32.0%,,,,,33,32.0%,
,26-30,,,31,24.0%,,,,,31,24.0%,
,31-39,,,27,12.5%,,,,,27,12.5%,
,40+,,,19,5.6%,,,,,19,5.6%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,37,48.0%,,,,,37,48.0%,
,1st Time Graduate,,,0,-100.0%,,,,,0,-100.0%,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,,,73,7.4%,,,,,73,7.4%,
Tuition,Resident Tuition,,,75,17.2%,,,,,75,17.2%,
Status,Non-Resident  Tuition,,,10,-9.1%,,,,,10,-9.1%,
,Tuition Exemption/Waiver,,,25,31.6%,,,,,25,31.6%,
Residency,Texas Resident,,,84,18.3%,,,,,84,18.3%,
Status,"Non-TX, US Resident",,,20,33.3%,,,,,20,33.3%,
,"Non-TX, Non-US Resident",,,6,-25.0%,,,,,6,-25.0%,
SCH,< 6 SCH,,,66,-1.5%,,,,,66,-1.5%,
Categories,6-8 SCH,,,36,50.0%,,,,,36,50.0%,
,9-11 SCH,,,6,200.0%,,,,,6,200.0%,
,12-14 SCH,,,2,100.0%,,,,,2,100.0%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,,,,,,,,,
"TAMU
Status","Half-Time
Three-Quarter Time",,,42,-6.7%,,,,,42,-6.7%,
,Full-Time,,,68,38.8%,,,,,68,38.8%,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,
